Unnamed: 0,Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,Date,Source PM2.5 AQI Value,PM2.5 AQI Value,Source  AQI Value, AQI Value
1,1,-2.2,8.3,-5.0,1026.0,39.0,0.0,16.1,17.6,51.9,-, , , ,01/01/2009,AQS,22,,.
2,2,0.9,6.1,-5.0,1017.7,45.0,0.0,16.1,18.3,25.9,35.2, , , ,01/02/2009,AQS,34,,.
3,3,3.7,8.3,-1.0,1016.6,45.0,0.0,16.1,12.8,22.2,-, , , ,01/03/2009,AQS,42,,.
4,4,,,,,,,,,,, , , ,01/04/2009,AQS,69,,.
5,5,,,,,,,,,,,o, , ,01/05/2009,AQS,55,,.
6,6,,,,,,,,,,,o,o, ,01/06/2009,AQS,35,,.
7,7,1.8,5.0,0.0,1002.1,92.0,24.64,9.7,7.8,24.1,35.2,o, , ,01/07/2009,AQS,23,,.
8,8,3.2,5.6,0.6,1000.2,60.0,19.56,15.3,16.5,31.3,55.4,o,o, ,01/08/2009,AQS,19,,.
9,9,0.3,4.0,-3.0,1017.4,47.0,0.0,16.1,16.9,29.4,44.3, , , ,01/09/2009,AQS,50,,.
10,10,,,,,,,,,,,o,o, ,01/10/2009,AQS,66,,.
11,11,,,,,,,,,,,o, , ,01/11/2009,AQS,58,,.
12,12,,,,,,,,,,, , , ,01/12/2009,AQS,54,,.
13,13,0.7,4.4,-2.8,1020.6,72.0,0.0,15.8,8.9,16.5,-, , , ,01/13/2009,AQS,68,,.
14,14,-1.6,3.0,-6.0,1017.9,46.0,0.0,16.1,17.2,38.9,51.9, , , ,01/14/2009,AQS,29,,.
15,15,-3.3,-1.1,-7.0,1022.3,48.0,0.0,16.1,18.9,48.2,61.1, ,o, ,01/15/2009,AQS,40,,.
16,16,,,,,,,,,,, , , ,01/16/2009,AQS,32,,.
17,17,,,,,,,,,,, , , ,01/17/2009,AQS,46,,.
18,18,,,,,,,,,,, , , ,01/18/2009,AQS,63,,.
19,19,-0.9,2.8,-4.4,1005.8,71.0,0.0,13.0,6.7,22.2,-, ,o, ,01/19/2009,AQS,114,,.
20,20,-3.6,2.2,-7.2,1007.8,55.0,0.0,16.1,20.2,31.3,38.9, , , ,01/20/2009,AQS,76,,.
21,21,-3.8,1.1,-7.8,1015.7,42.0,0.0,16.1,18.0,25.9,44.3, , , ,01/21/2009,AQS,53,,.
22,22,,,,,,,,,,, , , ,01/22/2009,AQS,65,,.
23,23,,,,,,,,,,, , , ,01/23/2009,AQS,74,,.
24,24,,,,,,,,,,, , , ,01/24/2009,AQS,54,,.
25,25,-3.4,-0.6,-6.1,1027.7,44.0,0.0,16.1,12.8,31.3,38.9, , , ,01/25/2009,AQS,43,,.
26,26,-2.2,1.1,-6.1,1029.6,52.0,0.0,15.6,7.4,18.3,-, ,o, ,01/26/2009,AQS,69,,.
27,27,-1.4,-0.6,-3.9,1030.7,72.0,5.33,10.8,6.7,13.0,-,o,o, ,01/27/2009,AQS,86,,.
28,28,,,,,,,,,,,o,o, ,01/28/2009,AQS,40,,.
29,29,,,,,,,,,,, , , ,01/29/2009,AQS,67,,.
30,30,,,,,,,,,,, , , ,01/30/2009,AQS,68,,.
31,31,-1.9,2.0,-6.0,1018.4,39.0,0.0,16.1,14.6,24.1,40.7, , , ,01/31/2009,AQS,33,,.
1,1,4.1,16.1,-5.6,1016.0,44.0,0.0,16.1,15.0,25.9,40.7, , , ,02/01/2009,AQS,26,,.
2,2,7.4,16.1,-3.2,1014.1,52.0,0.0,16.1,13.9,40.7,57.2, , , ,02/02/2009,AQS,46,,.
3,3,2.2,5.0,0.6,1011.9,69.0,0.76,13.5,20.7,29.4,40.7, ,o, ,02/03/2009,AQS,54,,.
4,4,,,,,,,,,,, ,o, ,02/04/2009,AQS,50,,.
5,5,,,,,,,,,,, , , ,02/05/2009,AQS,29,,.
6,6,,,,,,,,,,, , , ,02/06/2009,AQS,55,,.
7,7,3.3,15.0,-8.3,1026.8,58.0,0.0,16.1,8.5,20.6,-, , , ,02/07/2009,AQS,60,,.
8,8,11.7,19.0,7.0,1018.9,46.0,0.0,16.1,16.3,38.9,55.4, , , ,02/08/2009,AQS,39,,.
9,9,6.1,19.4,-1.1,1028.3,56.0,0.0,15.9,12.2,20.6,-, , , ,02/09/2009,AQS,65,,.
10,10,,,,,,,,,,, , , ,02/10/2009,AQS,57,,.
11,11,,,,,,,,,,, , , ,02/11/2009,AQS,56,,.
12,12,,,,,,,,,,,o, , ,02/12/2009,AQS,48,,.
13,13,8.4,11.1,6.0,1014.6,33.0,0.0,16.1,25.0,42.4,57.2, , , ,02/13/2009,AQS,52,,.
14,14,4.2,10.6,-0.6,1016.2,53.0,0.0,16.1,8.1,16.5,-, , , ,02/14/2009,AQS,56,,.
15,15,3.1,7.0,-1.0,1019.2,53.0,0.0,16.1,17.8,27.8,35.2,o, , ,02/15/2009,AQS,52,,.
16,16,,,,,,,,,,, , , ,02/16/2009,AQS,52,,.
17,17,,,,,,,,,,, , , ,02/17/2009,AQS,47,,.
18,18,,,,,,,,,,,o,o, ,02/18/2009,AQS,56,,.
19,19,6.8,10.0,0.0,1000.4,65.0,0.0,15.8,21.7,40.7,57.2,o, , ,02/19/2009,AQS,55,,.
20,20,-1.3,10.0,-5.0,1013.7,34.0,0.0,16.1,25.4,37.0,55.4, , , ,02/20/2009,AQS,54,,.
21,21,1.0,7.2,-5.0,1023.9,36.0,0.0,16.1,12.8,29.4,40.7, , , ,02/21/2009,AQS,52,,.
22,22,,,,,,,,,,,o,o, ,02/22/2009,AQS,53,,.
23,23,,,,,,,,,,, , , ,02/23/2009,AQS,50,,.
24,24,,,,,,,,,,, , , ,02/24/2009,AQS,50,,.
25,25,1.7,10.0,-5.6,1030.8,42.0,0.0,16.1,5.6,14.8,27.8, , , ,02/25/2009,AQS,56,,.
26,26,5.9,14.0,2.0,1026.7,47.0,0.0,16.1,10.9,18.3,-, , , ,02/26/2009,AQS,60,,.
27,27,11.4,18.9,1.7,1018.0,63.0,0.0,16.1,20.2,38.9,53.5,o, , ,02/27/2009,AQS,55,,.
28,28,,,,,,,,,,,o, , ,02/28/2009,AQS,51,,.
1,1,1.4,3.3,-1.0,1018.1,74.0,2.54,11.9,19.8,31.3,40.7,o,o, ,03/01/2009,AQS,53,,.
2,2,-4.3,-2.0,-6.0,1016.3,66.0,8.89,7.7,33.0,46.5,61.1, ,o, ,03/02/2009,AQS,48,,.
3,3,-6.2,-0.6,-10.0,1026.2,41.0,2.29,16.1,24.6,33.5,51.9, , , ,03/03/2009,AQS,52,,.
4,4,,,,,,,,,,, , , ,03/04/2009,AQS,40,,.
5,5,,,,,,,,,,, , , ,03/05/2009,AQS,70,,.
6,6,,,,,,,,,,, , , ,03/06/2009,AQS,59,,.
7,7,13.3,21.7,5.0,1018.8,65.0,0.0,16.1,12.4,20.6,-, , , ,03/07/2009,AQS,92,,.
8,8,17.3,23.3,5.6,1012.6,57.0,0.0,16.1,14.8,22.2,-, , , ,03/08/2009,AQS,79,,.
9,9,16.5,23.3,10.0,1010.7,47.0,0.0,16.1,20.0,37.0,57.2, , , ,03/09/2009,AQS,54,,.
10,10,,,,,,,,,,, , , ,03/10/2009,AQS,38,,.
11,11,,,,,,,,,,, , , ,03/11/2009,AQS,38,,.
12,12,,,,,,,,,,, , , ,03/12/2009,AQS,31,,.
13,13,3.9,7.0,1.0,1031.7,55.0,0.0,15.3,9.4,13.0,-,o,o, ,03/13/2009,AQS,63,,.
14,14,4.0,7.2,1.7,1027.3,79.0,2.03,11.7,5.6,13.0,-,o, , ,03/14/2009,AQS,68,,.
15,15,5.1,7.2,2.2,1022.9,86.0,2.54,12.2,6.7,14.8,-,o, , ,03/15/2009,AQS,67,,.
16,16,,,,,,,,,,,o, , ,03/16/2009,AQS,92,,.
17,17,,,,,,,,,,,o, , ,03/17/2009,AQS,76,,.
18,18,,,,,,,,,,, , , ,03/18/2009,AQS,57,,.
19,19,11.3,16.7,3.9,1017.9,73.0,1.02,15.9,15.7,35.2,40.7,o, , ,03/19/2009,AQS,45,,.
20,20,6.9,15.0,3.3,1024.4,50.0,0.0,16.1,17.4,33.5,38.9, , , ,03/20/2009,AQS,36,,.
21,21,4.4,10.6,-1.7,1032.4,40.0,0.0,16.1,8.1,22.2,-, , , ,03/21/2009,AQS,38,,.
22,22,,,,,,,,,,, , , ,03/22/2009,AQS,45,,.
23,23,,,,,,,,,,, , , ,03/23/2009,AQS,24,,.
24,24,,,,,,,,,,, , , ,03/24/2009,AQS,20,,.
25,25,5.8,10.6,-2.1,1029.2,33.0,0.0,16.1,11.3,24.1,33.5, , , ,03/25/2009,AQS,29,,.
26,26,7.3,10.6,1.1,1020.3,69.0,0.76,11.7,15.7,24.1,-,o, , ,03/26/2009,AQS,47,,.
27,27,11.1,16.7,4.4,1015.4,76.0,7.62,11.3,8.1,14.8,-,o, , ,03/27/2009,AQS,42,,.
28,28,,,,,,,,,,,o, , ,03/28/2009,AQS,30,,.
29,29,,,,,,,,,,,o, , ,03/29/2009,AQS,19,,.
30,30,,,,,,,,,,, , , ,03/30/2009,AQS,30,,.
31,31,9.2,16.1,3.0,1020.5,48.0,0.0,16.1,11.3,20.6,-, , , ,03/31/2009,AQS,31,,.
1,1,10.6,16.1,4.4,1018.5,74.0,1.52,15.1,10.7,20.6,-,o, , ,04/01/2009,AQS,42,,.
2,2,12.7,16.1,7.2,1014.9,91.0,4.57,5.8,9.4,18.3,-,o, , ,04/02/2009,AQS,62,,.
3,3,16.5,22.8,11.7,997.6,74.0,9.14,11.4,20.9,40.7,57.2,o, , ,04/03/2009,AQS,17,,.
4,4,,,,,,,,,,, , , ,04/04/2009,AQS,80,,.
5,5,,,,,,,,,,, , , ,04/05/2009,AQS,25,,.
6,6,,,,,,,,,,,o, , ,04/06/2009,AQS,30,,.
7,7,6.9,12.2,3.0,999.1,43.0,0.0,16.1,26.3,35.2,59.4, , , ,04/07/2009,AQS,45,,.
8,8,7.3,13.3,2.2,1006.6,40.0,0.0,16.1,20.4,33.5,51.9, , , ,04/08/2009,AQS,26,,.
9,9,10.9,17.2,2.2,1010.9,38.0,0.0,16.1,7.8,20.6,42.4, , , ,04/09/2009,AQS,52,,.
10,10,,,,,,,,,,, , , ,04/10/2009,AQS,54,,.
11,11,,,,,,,,,,,o, , ,04/11/2009,AQS,39,,.
12,12,,,,,,,,,,, , , ,04/12/2009,AQS,20,,.
13,13,8.0,13.3,3.3,1023.6,34.0,0.0,16.1,10.0,16.5,-,o, , ,04/13/2009,AQS,28,,.
14,14,8.4,12.2,3.9,1013.9,85.0,10.67,11.6,14.6,27.8,35.2,o, , ,04/14/2009,AQS,31,,.
15,15,8.1,10.0,5.6,1013.3,90.0,1.02,10.3,19.6,35.2,44.3,o, , ,04/15/2009,AQS,21,,.
16,16,,,,,,,,,,,o, , ,04/16/2009,AQS,33,,.
17,17,,,,,,,,,,, , , ,04/17/2009,AQS,41,,.
18,18,,,,,,,,,,, , , ,04/18/2009,AQS,47,,.
19,19,16.1,25.6,8.3,1014.9,54.0,0.0,16.1,9.3,29.4,37,o, , ,04/19/2009,AQS,54,,.
20,20,11.9,16.0,9.0,1012.4,80.0,6.86,11.4,15.2,25.9,33.5,o, , ,04/20/2009,AQS,26,,.
21,21,14.2,20.0,9.0,1006.9,74.0,23.62,13.0,10.7,35.2,46.5,o, ,o,04/21/2009,AQS,25,,.
22,22,,,,,,,,,,,o, ,o,04/22/2009,AQS,36,,.
23,23,,,,,,,,,,, , , ,04/23/2009,AQS,29,,.
24,24,,,,,,,,,,, , , ,04/24/2009,AQS,52,,.
25,25,20.1,31.0,13.0,1022.8,61.0,0.0,15.0,6.5,20.6,-, , , ,04/25/2009,AQS,148,,.
26,26,24.3,33.3,12.8,1023.5,51.0,0.25,16.1,10.6,24.1,35.2,o, ,o,04/26/2009,AQS,56,,.
27,27,23.8,33.3,15.6,1025.4,49.0,0.0,16.1,16.5,35.2,46.5, , , ,04/27/2009,AQS,48,,.
28,28,,,,,,,,,,, , , ,04/28/2009,AQS,42,,.
29,29,,,,,,,,,,,o, , ,04/29/2009,AQS,19,,.
30,30,,,,,,,,,,,o, , ,04/30/2009,AQS,44,,.
1,1,18.7,25.0,11.1,1017.1,76.0,0.0,15.3,20.7,27.8,46.5,o, , ,05/01/2009,AQS,62,,.
2,2,19.1,25.0,15.0,1012.4,71.0,0.25,16.1,11.3,24.1,35.2,o, , ,05/02/2009,AQS,40,,.
3,3,15.2,20.6,13.9,1014.5,89.0,3.3,10.3,8.3,20.6,-,o, , ,05/03/2009,AQS,50,,.
4,4,,,,,,,,,,,o, , ,05/04/2009,AQS,16,,.
5,5,,,,,,,,,,,o, , ,05/05/2009,AQS,39,,.
6,6,,,,,,,,,,,o, , ,05/06/2009,AQS,54,,.
7,7,18.3,22.2,12.8,1009.5,88.0,25.91,12.7,13.0,35.2,51.9,o, ,o,05/07/2009,AQS,35,,.
8,8,18.3,24.4,12.8,1010.4,81.0,11.94,14.0,9.3,20.6,-, , , ,05/08/2009,AQS,52,,.
9,9,22.8,30.0,12.8,1006.3,68.0,0.0,15.8,16.9,31.3,48.2,o, , ,05/09/2009,AQS,34,,.
10,10,,,,,,,,,,,o, , ,05/10/2009,AQS,55,,.
11,11,,,,,,,,,,,o, , ,05/11/2009,AQS,35,,.
12,12,,,,,,,,,,,o, , ,05/12/2009,AQS,35,,.
13,13,15.8,22.2,8.9,1027.0,55.0,0.0,16.1,7.8,20.6,-, , , ,05/13/2009,AQS,56,,.
14,14,18.6,24.4,9.4,1023.7,69.0,0.0,16.1,20.4,35.2,46.5,o, , ,05/14/2009,AQS,40,,.
15,15,21.0,25.0,15.0,1022.2,82.0,30.48,14.8,9.6,20.6,-,o, ,o,05/15/2009,AQS,51,,.
16,16,,,,,,,,,,,o, ,o,05/16/2009,AQS,42,,.
17,17,,,,,,,,,,,o, , ,05/17/2009,AQS,17,,.
18,18,,,,,,,,,,, , , ,05/18/2009,AQS,19,,.
19,19,14.1,21.0,7.0,1030.0,46.0,0.0,16.1,5.2,16.5,-, , , ,05/19/2009,AQS,31,,.
20,20,16.4,24.0,10.0,1030.1,53.0,0.0,16.1,9.6,16.5,-, , , ,05/20/2009,AQS,37,,.
21,21,18.6,26.1,10.0,1026.9,51.0,0.0,16.1,10.9,20.6,-, , , ,05/21/2009,AQS,42,,.
22,22,,,,,,,,,,, , , ,05/22/2009,AQS,35,,.
23,23,,,,,,,,,,, , , ,05/23/2009,AQS,33,,.
24,24,,,,,,,,,,,o, , ,05/24/2009,AQS,30,,.
25,25,23.0,27.8,20.0,1015.6,79.0,0.0,16.1,9.8,22.2,-,o, ,o,05/25/2009,AQS,54,,.
26,26,18.6,22.2,14.0,1018.8,88.0,37.34,11.7,15.6,38.9,53.5,o, ,o,05/26/2009,AQS,52,,.
27,27,17.2,23.3,13.9,1015.9,84.0,5.08,7.9,8.9,20.6,-,o, , ,05/27/2009,AQS,52,,.
28,28,,,,,,,,,,,o, ,o,05/28/2009,AQS,49,,.
29,29,,,,,,,,,,,o, ,o,05/29/2009,AQS,49,,.
30,30,,,,,,,,,,, , , ,05/30/2009,AQS,52,,.
31,31,21.3,28.3,14.4,1009.3,57.0,5.84,15.4,9.3,29.4,42.4,o, ,o,05/31/2009,AQS,47,,.
1,1,18.9,28.3,12.8,1018.4,45.0,0,16.1,13.7,25.9,-, , , ,06/01/2009,AQS,42,,.
2,2,22.4,32.2,12.8,1016.1,66.0,0,16.1,13.3,18.3,29.4, , , ,06/02/2009,AQS,55,,.
3,3,23.2,32.2,17.2,1015.6,72.0,1.78,15.3,11.9,29.4,46.5,o, ,o,06/03/2009,AQS,51,,.
4,4,,,,,,,,,,,o, ,o,06/04/2009,AQS,44,,.
5,5,,,,,,,,,,,o, , ,06/05/2009,AQS,22,,.
6,6,,,,,,,,,,,o, , ,06/06/2009,AQS,30,,.
7,7,20.8,26.7,15.6,1016.7,75.0,0,13.5,10.9,20.6,-, , , ,06/07/2009,AQS,60,,.
8,8,23.4,29.4,15.6,1014.2,71.0,0,15.4,10.4,14.8,-, , , ,06/08/2009,AQS,70,,.
9,9,23.7,29.0,18.0,1012.2,78.0,5.59,13.7,12.6,44.3,66.5,o, ,o,06/09/2009,AQS,55,,.
10,10,,,,,,,,,,,o, , ,06/10/2009,AQS,49,,.
11,11,,,,,,,,,,,o, ,o,06/11/2009,AQS,64,,.
12,12,,,,,,,,,,,o, , ,06/12/2009,AQS,39,,.
13,13,25.1,30.0,21.1,1011.2,62.0,0,16.1,8.7,16.5,-, , , ,06/13/2009,AQS,51,,.
14,14,23.8,29.4,20.0,1013.6,57.0,0,16.1,13.1,29.4,-,o, , ,06/14/2009,AQS,33,,.
15,15,23.2,27.8,18.9,1015.7,62.0,0,16.1,10.9,20.6,-, , , ,06/15/2009,AQS,54,,.
16,16,,,,,,,,,,, , , ,06/16/2009,AQS,48,,.
17,17,,,,,,,,,,,o, , ,06/17/2009,AQS,19,,.
18,18,,,,,,,,,,,o, ,o,06/18/2009,AQS,53,,.
19,19,23.4,28.9,17.8,1010.0,66.0,21.34,15.6,10.7,25.9,33.5, , , ,06/19/2009,AQS,71,,.
20,20,24.6,31.7,17.8,1005.3,79.0,0,10.0,11.3,40.7,57.2,o, ,o,06/20/2009,AQS,62,,.
21,21,24.4,31.7,21.1,1003.4,61.0,9.91,16.1,21.5,31.3,40.7, , , ,06/21/2009,AQS,25,,.
22,22,,,,,,,,,,, , , ,06/22/2009,AQS,21,,.
23,23,,,,,,,,,,, , , ,06/23/2009,AQS,38,,.
24,24,,,,,,,,,,, , , ,06/24/2009,AQS,34,,.
25,25,26.8,31.0,20.6,1009.7,49.0,0,16.1,7.8,16.5,-, , , ,06/25/2009,AQS,55,,.
26,26,26.2,32.8,20.6,1007.6,70.0,-,14.3,12.0,57.2,77.8,o, ,o,06/26/2009,AQS,79,,.
27,27,24.3,31.7,21.1,1007.7,63.0,9.65,15.8,16.7,27.8,44.3,o, ,o,06/27/2009,AQS,58,,.
28,28,,,,,,,,,,, , , ,06/28/2009,AQS,66,,.
29,29,,,,,,,,,,, , , ,06/29/2009,AQS,53,,.
30,30,,,,,,,,,,,o, , ,06/30/2009,AQS,53,,.
1,1,24.0,28.3,19.0,1005.0,65.0,0.51,15.6,7.8,31.3,-,o, ,o,07/01/2009,AQS,53,,.
2,2,22.8,28.9,18.9,1008.6,68.0,1.02,15.3,10.9,22.2,27.8,o, ,o,07/02/2009,AQS,38,,.
3,3,21.6,26.7,17.8,1013.1,60.0,1.52,16.1,11.9,22.2,31.3, , , ,07/03/2009,AQS,39,,.
4,4,,,,,,,,,,, , , ,07/04/2009,AQS,59,,.
5,5,,,,,,,,,,,o, , ,07/05/2009,AQS,47,,.
6,6,,,,,,,,,,, , , ,07/06/2009,AQS,55,,.
7,7,25.2,31.1,17.2,1008.2,53.0,0.0,16.1,12.6,24.1,33.5, , , ,07/07/2009,AQS,52,,.
8,8,24.4,31.1,18.9,1011.6,42.0,0.0,16.1,11.9,20.6,29.4, , , ,07/08/2009,AQS,29,,.
9,9,22.9,28.0,18.0,1019.0,53.0,0.0,16.1,8.5,14.8,-, , , ,07/09/2009,AQS,61,,.
10,10,,,,,,,,,,, , , ,07/10/2009,AQS,38,,.
11,11,,,,,,,,,,,o, , ,07/11/2009,AQS,47,,.
12,12,,,,,,,,,,, , , ,07/12/2009,AQS,57,,.
13,13,26.1,32.2,21.1,1013.1,44.0,0.0,16.1,9.6,20.6,27.8, , , ,07/13/2009,AQS,54,,.
14,14,24.2,31.1,17.8,1017.2,35.0,0.0,16.1,14.4,18.3,37, , , ,07/14/2009,AQS,36,,.
15,15,24.9,31.1,17.8,1019.8,47.0,0.0,16.1,13.5,27.8,35.2, , , ,07/15/2009,AQS,55,,.
16,16,,,,,,,,,,, , , ,07/16/2009,AQS,63,,.
17,17,,,,,,,,,,,o, , ,07/17/2009,AQS,61,,.
18,18,,,,,,,,,,,o, , ,07/18/2009,AQS,39,,.
19,19,23.1,28.3,16.7,1018.3,48.0,0.0,16.1,10.0,16.5,-, , , ,07/19/2009,AQS,51,,.
20,20,24.2,28.9,16.7,1019.9,58.0,0.0,15.6,9.8,18.3,-, , , ,07/20/2009,AQS,60,,.
21,21,24.5,30.0,21.1,1018.8,60.0,0.0,16.1,9.4,16.5,-, , , ,07/21/2009,AQS,61,,.
22,22,,,,,,,,,,, , , ,07/22/2009,AQS,60,,.
23,23,,,,,,,,,,,o, ,o,07/23/2009,AQS,35,,.
24,24,,,,,,,,,,,o, ,o,07/24/2009,AQS,53,,.
25,25,26.3,32.8,20.0,1013.3,59.0,0.0,15.4,12.6,31.3,42.4,o, , ,07/25/2009,AQS,57,,.
26,26,25.6,32.8,21.1,1012.3,66.0,1.78,15.6,14.1,37.0,46.5,o, ,o,07/26/2009,AQS,38,,.
27,27,26.1,32.8,21.1,1013.8,70.0,0.0,15.8,15.0,20.6,-,o, , ,07/27/2009,AQS,51,,.
28,28,,,,,,,,,,, , , ,07/28/2009,AQS,66,,.
29,29,,,,,,,,,,,o, , ,07/29/2009,AQS,53,,.
30,30,,,,,,,,,,, , , ,07/30/2009,AQS,62,,.
31,31,26.3,32.2,21.7,1012.2,73.0,3.3,15.0,18.3,38.9,61.1,o, , ,07/31/2009,AQS,44,,.
1,1,25.4,32.2,21.1,1017.3,69.0,0.25,16.1,9.4,25.9,48.2, , ,o,08/01/2009,AQS,52,,.
2,2,24.6,31.7,21.1,1013.2,81.0,4.57,14.3,9.6,22.2,44.3,o, ,o,08/02/2009,AQS,40,,.
3,3,25.8,31.0,22.0,1015.1,65.0,6.6,15.6,8.7,16.5,-, , , ,08/03/2009,AQS,65,,.
4,4,,,,,,,,,,, , , ,08/04/2009,AQS,71,,.
5,5,,,,,,,,,,, , , ,08/05/2009,AQS,60,,.
6,6,,,,,,,,,,,o, ,o,08/06/2009,AQS,64,,.
7,7,23.4,30.0,17.8,1019.0,49.0,0.0,16.1,10.2,18.3,-, , , ,08/07/2009,AQS,30,,.
8,8,24.9,30.6,17.8,1022.4,53.0,0.0,16.1,7.4,14.8,-,o, , ,08/08/2009,AQS,71,,.
9,9,28.2,35.6,20.6,1019.2,63.0,0.0,14.5,12.8,24.1,31.3, , , ,08/09/2009,AQS,77,,.
10,10,,,,,,,,,,, , , ,08/10/2009,AQS,69,,.
11,11,,,,,,,,,,,o, ,o,08/11/2009,AQS,58,,.
12,12,,,,,,,,,,, , , ,08/12/2009,AQS,61,,.
13,13,26.1,30.6,22.8,1016.8,65.0,0.0,15.9,14.1,25.9,31.3,o, , ,08/13/2009,AQS,42,,.
14,14,25.4,30.0,22.0,1021.9,71.0,0.0,15.9,8.7,14.8,-, , , ,08/14/2009,AQS,40,,.
15,15,26.4,32.0,22.0,1021.8,63.0,0.0,16.1,7.0,14.8,-, , , ,08/15/2009,AQS,41,,.
16,16,,,,,,,,,,, , , ,08/16/2009,AQS,53,,.
17,17,,,,,,,,,,, , , ,08/17/2009,AQS,58,,.
18,18,,,,,,,,,,,o, , ,08/18/2009,AQS,55,,.
19,19,27.1,35.0,23.3,1016.0,72.0,3.3,16.1,8.9,33.5,48.2,o, ,o,08/19/2009,AQS,42,,.
20,20,27.0,34.0,23.0,1014.1,74.0,0.0,16.1,13.0,24.1,35.2, , , ,08/20/2009,AQS,43,,.
21,21,28.8,35.0,23.3,1012.3,66.0,0.25,16.1,17.4,40.7,57.2,o, ,o,08/21/2009,AQS,32,,.
22,22,,,,,,,,,,,o, ,o,08/22/2009,AQS,46,,.
23,23,,,,,,,,,,,o, , ,08/23/2009,AQS,59,,.
24,24,,,,,,,,,,, , , ,08/24/2009,AQS,33,,.
25,25,25.2,30.6,20.0,1020.3,60.0,0.0,16.1,7.2,16.5,-, , , ,08/25/2009,AQS,59,,.
26,26,26.4,33.3,20.0,1018.0,62.0,0.0,15.4,10.2,20.6,35.2, , , ,08/26/2009,AQS,71,,.
27,27,27.4,33.3,21.7,1017.3,60.0,0.0,14.8,8.1,18.3,-, , , ,08/27/2009,AQS,84,,.
28,28,,,,,,,,,,,o, ,o,08/28/2009,AQS,61,,.
29,29,,,,,,,,,,,o, , ,08/29/2009,AQS,51,,.
30,30,,,,,,,,,,,o, , ,08/30/2009,AQS,48,,.
31,31,21.2,29.4,17.8,1019.6,51.0,0.0,16.1,16.7,27.8,-, , , ,08/31/2009,AQS,22,,.
1,1,19.7,24.4,15.0,1024.0,50.0,0.0,16.1,15.9,27.8,29.4, , , ,09/01/2009,AQS,25,,.
2,2,19.8,24.4,13.9,1025.0,58.0,0.0,16.1,10.7,16.5,35.2, , , ,09/02/2009,AQS,34,,.
3,3,20.9,26.7,13.9,1021.0,55.0,0.0,16.1,10.2,18.3,25.9, , , ,09/03/2009,AQS,40,,.
4,4,,,,,,,,,,, , , ,09/04/2009,AQS,48,,.
5,5,,,,,,,,,,, , , ,09/05/2009,AQS,59,,.
6,6,,,,,,,,,,, , , ,09/06/2009,AQS,54,,.
7,7,21.3,28.9,18.3,1022.9,82.0,10.92,14.6,13.9,20.6,33.5,o, ,o,09/07/2009,AQS,34,,.
8,8,20.6,25.0,18.3,1018.6,78.0,2.29,15.3,16.1,22.2,-,o, , ,09/08/2009,AQS,35,,.
9,9,21.3,26.1,18.3,1019.1,70.0,0.51,15.6,13.1,33.5,38.9,o, , ,09/09/2009,AQS,52,,.
10,10,,,,,,,,,,, , , ,09/10/2009,AQS,28,,.
11,11,,,,,,,,,,,o, , ,09/11/2009,AQS,15,,.
12,12,,,,,,,,,,, , , ,09/12/2009,AQS,15,,.
13,13,21.9,28.0,17.0,1014.7,64.0,0.0,16.1,14.4,22.2,31.3, , , ,09/13/2009,AQS,26,,.
14,14,22.9,28.9,17.2,1015.4,58.0,0.0,16.1,9.8,22.2,29.4, , , ,09/14/2009,AQS,60,,.
15,15,23.7,28.9,17.2,1014.8,64.0,0.0,15.6,8.0,14.8,-, , , ,09/15/2009,AQS,62,,.
16,16,,,,,,,,,,,o, , ,09/16/2009,AQS,48,,.
17,17,,,,,,,,,,,o, , ,09/17/2009,AQS,24,,.
18,18,,,,,,,,,,,o, , ,09/18/2009,AQS,33,,.
19,19,20.7,24.4,17.0,1022.2,63.0,0.0,16.1,12.2,24.1,-, , , ,09/19/2009,AQS,31,,.
20,20,18.5,25.0,13.9,1026.3,60.0,0.0,16.1,5.0,18.3,-, , , ,09/20/2009,AQS,27,,.
21,21,19.9,27.0,16.0,1025.2,66.0,0.0,16.1,6.5,16.5,-, , , ,09/21/2009,AQS,27,,.
22,22,,,,,,,,,,, , , ,09/22/2009,AQS,29,,.
23,23,,,,,,,,,,, , , ,09/23/2009,AQS,25,,.
24,24,,,,,,,,,,, , , ,09/24/2009,AQS,53,,.
25,25,21.8,30.0,17.8,1020.6,61.0,0.51,15.8,13.9,24.1,31.3,o, , ,09/25/2009,AQS,32,,.
26,26,17.9,25.0,15.6,1023.7,67.0,0.0,15.1,11.5,22.2,-,o, , ,09/26/2009,AQS,15,,.
27,27,19.2,25.6,15.6,1007.9,79.0,40.89,13.0,8.9,31.3,37,o, , ,09/27/2009,AQS,17,,.
28,28,,,,,,,,,,, , , ,09/28/2009,AQS,27,,.
29,29,,,,,,,,,,, , , ,09/29/2009,AQS,23,,.
30,30,,,,,,,,,,,o, , ,09/30/2009,AQS,19,,.
1,1,14.2,21.1,10.0,1017.4,61.0,0.0,16.1,8.9,16.5,-, , , ,10/01/2009,AQS,31,,.
2,2,16.7,22.2,10.0,1014.5,68.0,0.0,16.1,11.7,25.9,-, , , ,10/02/2009,AQS,40,,.
3,3,20.7,25.0,13.3,1010.7,66.0,0.51,16.1,10.9,18.3,-,o, , ,10/03/2009,AQS,43,,.
