"Date","Source PM2.5 AQI Value","PM2.5 AQI Value","Source  AQI Value"," AQI Value"
"01/01/2012","AQS","59","","."
"01/02/2012","AQS","48","","."
"01/03/2012","AQS","51","","."
"01/04/2012","AQS","49","","."
"01/05/2012","AQS","63","","."
"01/06/2012","AQS","60","","."
"01/07/2012","AQS","64","","."
"01/08/2012","AQS","56","","."
"01/09/2012","AQS","52","","."
"01/10/2012","AQS","61","","."
"01/11/2012","AQS","64","","."
"01/12/2012","AQS","50","","."
"01/13/2012","AQS","55","","."
"01/14/2012","AQS","54","","."
"01/15/2012","AQS","59","","."
"01/16/2012","AQS","54","","."
"01/17/2012","AQS","64","","."
"01/18/2012","AQS","55","","."
"01/19/2012","AQS","48","","."
"01/20/2012","AQS","57","","."
"01/21/2012","AQS","61","","."
"01/22/2012","AQS","60","","."
"01/23/2012","AQS","85","","."
"01/24/2012","AQS","60","","."
"01/25/2012","AQS","64","","."
"01/26/2012","AQS","64","","."
"01/27/2012","AQS","58","","."
"01/28/2012","AQS","52","","."
"01/29/2012","AQS","40","","."
"01/30/2012","AQS","54","","."
"01/31/2012","AQS","58","","."
"02/01/2012","AQS","64","","."
"02/02/2012","AQS","68","","."
"02/03/2012","AQS","52","","."
"02/04/2012","AQS","61","","."
"02/05/2012","AQS","64","","."
"02/06/2012","AQS","58","","."
"02/07/2012","AQS","64","","."
"02/08/2012","AQS","60","","."
"02/09/2012","AQS","57","","."
"02/10/2012","AQS","55","","."
"02/11/2012","AQS","55","","."
"02/12/2012","AQS","51","","."
"02/13/2012","AQS","56","","."
"02/14/2012","AQS","66","","."
"02/15/2012","AQS","63","","."
"02/16/2012","AQS","60","","."
"02/17/2012","AQS","61","","."
"02/18/2012","AQS","62","","."
"02/19/2012","AQS","52","","."
"02/20/2012","AQS","58","","."
"02/21/2012","AQS","59","","."
"02/22/2012","AQS","57","","."
"02/23/2012","AQS","52","","."
"02/24/2012","AQS","59","","."
"02/25/2012","AQS","54","","."
"02/26/2012","AQS","55","","."
"02/27/2012","AQS","58","","."
"02/28/2012","AQS","57","","."
"02/29/2012","AQS","57","","."
"03/01/2012","AQS","58","","."
"03/02/2012","AQS","54","","."
"03/03/2012","AQS","50","","."
"03/04/2012","AQS","56","","."
"03/05/2012","AQS","60","","."
"03/06/2012","AQS","56","","."
"03/07/2012","AQS","60","","."
"03/08/2012","AQS","55","","."
"03/09/2012","AQS","56","","."
"03/10/2012","AQS","52","","."
"03/11/2012","AQS","55","","."
"03/12/2012","AQS","60","","."
"03/13/2012","AQS","63","","."
"03/14/2012","AQS","60","","."
"03/15/2012","AQS","59","","."
"03/16/2012","AQS","80","","."
"03/17/2012","AQS","75","","."
"03/18/2012","AQS","47","","."
"03/19/2012","AQS","32","","."
"03/20/2012","AQS","30","","."
"03/21/2012","AQS","52","","."
"03/22/2012","AQS","81","","."
"03/23/2012","AQS","72","","."
"03/24/2012","AQS","64","","."
"03/25/2012","AQS","35","","."
"03/26/2012","AQS","24","","."
"03/27/2012","AQS","22","","."
"03/28/2012","AQS","46","","."
"03/29/2012","AQS","27","","."
"03/30/2012","AQS","30","","."
"03/31/2012","AQS","50","","."
"04/01/2012","AQS","41","","."
"04/02/2012","AQS","27","","."
"04/03/2012","AQS","31","","."
"04/04/2012","AQS","40","","."
"04/05/2012","AQS","25","","."
"04/06/2012","AQS","23","","."
"04/07/2012","AQS","24","","."
"04/08/2012","AQS","29","","."
"04/09/2012","AQS","27","","."
"04/10/2012","AQS","29","","."
"04/11/2012","AQS","26","","."
"04/12/2012","AQS","30","","."
"04/13/2012","AQS","30","","."
"04/14/2012","AQS","42","","."
"04/15/2012","AQS","58","","."
"04/16/2012","AQS","62","","."
"04/17/2012","AQS","26","","."
"04/18/2012","AQS","38","","."
"04/19/2012","AQS","55","","."
"04/20/2012","AQS","45","","."
"04/21/2012","AQS","35","","."
"04/22/2012","AQS","16","","."
"04/23/2012","AQS","19","","."
"04/24/2012","AQS","26","","."
"04/25/2012","AQS","43","","."
"04/26/2012","AQS","48","","."
"04/27/2012","AQS","27","","."
"04/28/2012","AQS","28","","."
"04/29/2012","AQS","33","","."
"04/30/2012","AQS","41","","."
"05/01/2012","AQS","40","","."
"05/02/2012","AQS","58","","."
"05/03/2012","AQS","55","","."
"05/04/2012","AQS","51","","."
"05/05/2012","AQS","53","","."
"05/06/2012","AQS","23","","."
"05/07/2012","AQS","23","","."
"05/08/2012","AQS","32","","."
"05/09/2012","AQS","51","","."
"05/10/2012","AQS","29","","."
"05/11/2012","AQS","28","","."
"05/12/2012","AQS","55","","."
"05/13/2012","AQS","54","","."
"05/14/2012","AQS","31","","."
"05/15/2012","AQS","23","","."
"05/16/2012","AQS","53","","."
"05/17/2012","AQS","39","","."
"05/18/2012","AQS","31","","."
"05/19/2012","AQS","28","","."
"05/20/2012","AQS","28","","."
"05/21/2012","AQS","22","","."
"05/22/2012","AQS","28","","."
"05/23/2012","AQS","53","","."
"05/24/2012","AQS","56","","."
"05/25/2012","AQS","41","","."
"05/26/2012","AQS","43","","."
"05/27/2012","AQS","38","","."
"05/28/2012","AQS","41","","."
"05/29/2012","AQS","49","","."
"05/30/2012","AQS","44","","."
"05/31/2012","AQS","45","","."
"06/01/2012","AQS","59","","."
"06/02/2012","AQS","60","","."
"06/03/2012","AQS","48","","."
"06/04/2012","AQS","33","","."
"06/05/2012","AQS","34","","."
"06/06/2012","AQS","34","","."
"06/07/2012","AQS","40","","."
"06/08/2012","AQS","56","","."
"06/09/2012","AQS","55","","."
"06/10/2012","AQS","72","","."
"06/11/2012","AQS","71","","."
"06/12/2012","AQS","56","","."
"06/13/2012","AQS","40","","."
"06/14/2012","AQS","58","","."
"06/15/2012","AQS","38","","."
"06/16/2012","AQS","41","","."
"06/17/2012","AQS","48","","."
"06/18/2012","AQS","42","","."
"06/19/2012","AQS","70","","."
"06/20/2012","AQS","87","","."
"06/21/2012","AQS","105","","."
"06/22/2012","AQS","83","","."
"06/23/2012","AQS","77","","."
"06/24/2012","AQS","62","","."
"06/25/2012","AQS","59","","."
"06/26/2012","AQS","48","","."
"06/27/2012","AQS","51","","."
"06/28/2012","AQS","60","","."
"06/29/2012","AQS","82","","."
"06/30/2012","AQS","60","","."
"07/01/2012","AQS","72","","."
"07/02/2012","AQS","58","","."
"07/03/2012","AQS","72","","."
"07/04/2012","AQS","92","","."
"07/05/2012","AQS","71","","."
"07/06/2012","AQS","71","","."
"07/07/2012","AQS","91","","."
"07/08/2012","AQS","99","","."
"07/09/2012","AQS","64","","."
"07/10/2012","AQS","66","","."
"07/11/2012","AQS","60","","."
"07/12/2012","AQS","55","","."
"07/13/2012","AQS","61","","."
"07/14/2012","AQS","57","","."
"07/15/2012","AQS","57","","."
"07/16/2012","AQS","66","","."
"07/17/2012","AQS","81","","."
"07/18/2012","AQS","81","","."
"07/19/2012","AQS","65","","."
"07/20/2012","AQS","66","","."
"07/21/2012","AQS","58","","."
"07/22/2012","AQS","45","","."
"07/23/2012","AQS","66","","."
"07/24/2012","AQS","71","","."
"07/25/2012","AQS","51","","."
"07/26/2012","AQS","77","","."
"07/27/2012","AQS","59","","."
"07/28/2012","AQS","64","","."
"07/29/2012","AQS","61","","."
"07/30/2012","AQS","63","","."
"07/31/2012","AQS","56","","."
"08/01/2012","AQS","62","","."
"08/02/2012","AQS","71","","."
"08/03/2012","AQS","79","","."
"08/04/2012","AQS","67","","."
"08/05/2012","AQS","97","","."
"08/06/2012","AQS","64","","."
"08/07/2012","AQS","76","","."
"08/08/2012","AQS","76","","."
"08/09/2012","AQS","71","","."
"08/10/2012","AQS","56","","."
"08/11/2012","AQS","55","","."
"08/12/2012","AQS","53","","."
"08/13/2012","AQS","59","","."
"08/14/2012","AQS","70","","."
"08/15/2012","AQS","67","","."
"08/16/2012","AQS","65","","."
"08/17/2012","AQS","71","","."
"08/18/2012","AQS","53","","."
"08/19/2012","AQS","56","","."
"08/20/2012","AQS","61","","."
"08/21/2012","AQS","67","","."
"08/22/2012","AQS","76","","."
"08/23/2012","AQS","81","","."
"08/24/2012","AQS","81","","."
"08/25/2012","AQS","64","","."
"08/26/2012","AQS","48","","."
"08/27/2012","AQS","31","","."
"08/28/2012","AQS","43","","."
"08/29/2012","AQS","41","","."
"08/30/2012","AQS","55","","."
"08/31/2012","AQS","59","","."
"09/01/2012","AQS","49","","."
"09/02/2012","AQS","51","","."
"09/03/2012","AQS","53","","."
"09/04/2012","AQS","45","","."
"09/05/2012","AQS","41","","."
"09/06/2012","AQS","48","","."
"09/07/2012","AQS","45","","."
"09/08/2012","AQS","46","","."
"09/09/2012","AQS","23","","."
"09/10/2012","AQS","24","","."
"09/11/2012","AQS","33","","."
"09/12/2012","AQS","41","","."
"09/13/2012","AQS","45","","."
"09/14/2012","AQS","37","","."
"09/15/2012","AQS","22","","."
"09/16/2012","AQS","48","","."
"09/17/2012","AQS","54","","."
"09/18/2012","AQS","35","","."
"09/19/2012","AQS","21","","."
"09/20/2012","AQS","29","","."
"09/21/2012","AQS","59","","."
"09/22/2012","AQS","55","","."
"09/23/2012","AQS","24","","."
"09/24/2012","AQS","31","","."
"09/25/2012","AQS","28","","."
"09/26/2012","AQS","55","","."
"09/27/2012","AQS","51","","."
"09/28/2012","AQS","52","","."
"09/29/2012","AQS","30","","."
"09/30/2012","AQS","40","","."
"10/01/2012","AQS","42","","."
"10/02/2012","AQS","63","","."
"10/03/2012","AQS","56","","."
"10/04/2012","AQS","60","","."
"10/05/2012","AQS","57","","."
"10/06/2012","AQS","48","","."
"10/07/2012","AQS","34","","."
"10/08/2012","AQS","34","","."
"10/09/2012","AQS","38","","."
"10/10/2012","AQS","44","","."
"10/11/2012","AQS","21","","."
"10/12/2012","AQS","36","","."
"10/13/2012","AQS","18","","."
"10/14/2012","AQS","26","","."
"10/15/2012","AQS","30","","."
"10/16/2012","AQS","33","","."
"10/17/2012","AQS","55","","."
"10/18/2012","AQS","37","","."
"10/19/2012","AQS","48","","."
"10/20/2012","AQS","38","","."
"10/21/2012","AQS","26","","."
"10/22/2012","AQS","40","","."
"10/23/2012","AQS","50","","."
"10/24/2012","AQS","57","","."
"10/25/2012","AQS","72","","."
"10/26/2012","AQS","44","","."
"10/27/2012","AQS","20","","."
"10/28/2012","AQS","20","","."
"10/29/2012","AQS","5","","."
"10/30/2012","AQS","7","","."
"10/31/2012","AQS","13","","."
"11/01/2012","AQS","13","","."
"11/02/2012","AQS","31","","."
"11/03/2012","AQS","20","","."
"11/04/2012","AQS","23","","."
"11/05/2012","AQS","38","","."
"11/06/2012","AQS","34","","."
"11/07/2012","AQS","63","","."
"11/08/2012","AQS","35","","."
"11/09/2012","AQS","55","","."
"11/10/2012","AQS","66","","."
"11/11/2012","AQS","63","","."
"11/12/2012","AQS","50","","."
"11/13/2012","AQS","23","","."
"11/14/2012","AQS","44","","."
"11/15/2012","AQS","48","","."
"11/16/2012","AQS","90","","."
"11/17/2012","AQS","38","","."
"11/18/2012","AQS","52","","."
"11/19/2012","AQS","35","","."
"11/20/2012","AQS","59","","."
"11/21/2012","AQS","65","","."
"11/22/2012","AQS","65","","."
"11/23/2012","AQS","84","","."
"11/24/2012","AQS","21","","."
"11/25/2012","AQS","75","","."
"11/26/2012","AQS","68","","."
"11/27/2012","AQS","101","","."
"11/28/2012","AQS","87","","."
"11/29/2012","AQS","59","","."
"11/30/2012","AQS","70","","."
"12/01/2012","AQS","105","","."
"12/02/2012","AQS","97","","."
"12/03/2012","AQS","63","","."
"12/04/2012","AQS","62","","."
"12/05/2012","AQS","33","","."
"12/06/2012","AQS","28","","."
"12/07/2012","AQS","38","","."
"12/08/2012","AQS","63","","."
"12/09/2012","AQS","59","","."
"12/10/2012","AQS","49","","."
"12/11/2012","AQS","26","","."
"12/12/2012","AQS","47","","."
"12/13/2012","AQS","52","","."
"12/14/2012","AQS","68","","."
"12/15/2012","AQS","69","","."
"12/16/2012","AQS","64","","."
"12/17/2012","AQS","70","","."
"12/18/2012","AQS","35","","."
"12/19/2012","AQS","44","","."
"12/20/2012","AQS","45","","."
"12/21/2012","AQS","15","","."
"12/22/2012","AQS","20","","."
"12/23/2012","AQS","43","","."
"12/24/2012","AQS","73","","."
"12/25/2012","AQS","66","","."
"12/26/2012","AQS","36","","."
"12/27/2012","AQS","40","","."
"12/28/2012","AQS","51","","."
"12/29/2012","AQS","58","","."
"12/30/2012","AQS","35","","."
"12/31/2012","AQS","52","","."
