"Date","Source PM2.5 AQI Value","PM2.5 AQI Value","Source  AQI Value"," AQI Value"
"01/01/2015","AQS","48","","."
"01/02/2015","AQS","41","","."
"01/03/2015","AQS","67","","."
"01/04/2015","AQS","24","","."
"01/05/2015","AQS","23","","."
"01/06/2015","AQS","42","","."
"01/07/2015","AQS","44","","."
"01/08/2015","AQS","29","","."
"01/09/2015","AQS","37","","."
"01/10/2015","AQS","58","","."
"01/11/2015","AQS","66","","."
"01/12/2015","AQS","60","","."
"01/13/2015","AQS","38","","."
"01/14/2015","AQS","60","","."
"01/15/2015","AQS","72","","."
"01/16/2015","AQS","56","","."
"01/17/2015","AQS","35","","."
"01/18/2015","AQS","56","","."
"01/19/2015","AQS","32","","."
"01/20/2015","AQS","64","","."
"01/21/2015","AQS","79","","."
"01/22/2015","AQS","58","","."
"01/23/2015","AQS","61","","."
"01/24/2015","AQS","39","","."
"01/25/2015","AQS","30","","."
"01/26/2015","AQS","41","","."
"01/27/2015","AQS","38","","."
"01/28/2015","AQS","35","","."
"01/29/2015","AQS","47","","."
"01/30/2015","AQS","28","","."
"01/31/2015","AQS","38","","."
"02/01/2015","AQS","60","","."
"02/02/2015","AQS","38","","."
"02/03/2015","AQS","29","","."
"02/04/2015","AQS","40","","."
"02/05/2015","AQS","35","","."
"02/06/2015","AQS","44","","."
"02/07/2015","AQS","63","","."
"02/08/2015","AQS","77","","."
"02/09/2015","AQS","75","","."
"02/10/2015","AQS","44","","."
"02/11/2015","AQS","50","","."
"02/12/2015","AQS","51","","."
"02/13/2015","AQS","25","","."
"02/14/2015","AQS","37","","."
"02/15/2015","AQS","37","","."
"02/16/2015","AQS","37","","."
"02/17/2015","AQS","65","","."
"02/18/2015","AQS","59","","."
"02/19/2015","AQS","40","","."
"02/20/2015","AQS","47","","."
"02/21/2015","AQS","58","","."
"02/22/2015","AQS","60","","."
"02/23/2015","AQS","48","","."
"02/24/2015","AQS","44","","."
"02/25/2015","AQS","52","","."
"02/26/2015","AQS","70","","."
"02/27/2015","AQS","62","","."
"02/28/2015","AQS","51","","."
"03/01/2015","AQS","56","","."
"03/02/2015","AQS","58","","."
"03/03/2015","AQS","60","","."
"03/04/2015","AQS","61","","."
"03/05/2015","AQS","35","","."
"03/06/2015","AQS","42","","."
"03/07/2015","AQS","53","","."
"03/08/2015","AQS","53","","."
"03/09/2015","AQS","57","","."
"03/10/2015","AQS","69","","."
"03/11/2015","AQS","45","","."
"03/12/2015","AQS","26","","."
"03/13/2015","AQS","21","","."
"03/14/2015","AQS","25","","."
"03/15/2015","AQS","43","","."
"03/16/2015","AQS","59","","."
"03/17/2015","AQS","48","","."
"03/18/2015","AQS","18","","."
"03/19/2015","AQS","40","","."
"03/20/2015","AQS","37","","."
"03/21/2015","AQS","56","","."
"03/22/2015","AQS","26","","."
"03/23/2015","AQS","28","","."
"03/24/2015","AQS","40","","."
"03/25/2015","AQS","55","","."
"03/26/2015","AQS","44","","."
"03/27/2015","AQS","37","","."
"03/28/2015","AQS","27","","."
"03/29/2015","AQS","22","","."
"03/30/2015","AQS","23","","."
"03/31/2015","AQS","25","","."
"04/01/2015","AQS","30","","."
"04/02/2015","AQS","40","","."
"04/03/2015","AQS","51","","."
"04/04/2015","AQS","13","","."
"04/05/2015","AQS","17","","."
"04/06/2015","AQS","32","","."
"04/07/2015","AQS","54","","."
"04/08/2015","AQS","19","","."
"04/09/2015","AQS","37","","."
"04/10/2015","AQS","38","","."
"04/11/2015","AQS","21","","."
"04/12/2015","AQS","45","","."
"04/13/2015","AQS","33","","."
"04/14/2015","AQS","35","","."
"04/15/2015","AQS","21","","."
"04/16/2015","AQS","26","","."
"04/17/2015","AQS","35","","."
"04/18/2015","AQS","45","","."
"04/19/2015","AQS","31","","."
"04/20/2015","AQS","18","","."
"04/21/2015","AQS","25","","."
"04/22/2015","AQS","24","","."
"04/23/2015","AQS","22","","."
"04/24/2015","AQS","24","","."
"04/25/2015","AQS","34","","."
"04/26/2015","AQS","28","","."
"04/27/2015","AQS","21","","."
"04/28/2015","AQS","23","","."
"04/29/2015","AQS","24","","."
"04/30/2015","AQS","45","","."
"05/01/2015","AQS","23","","."
"05/02/2015","AQS","28","","."
"05/03/2015","AQS","42","","."
"05/04/2015","AQS","52","","."
"05/05/2015","AQS","58","","."
"05/06/2015","AQS","61","","."
"05/07/2015","AQS","56","","."
