"Date","Source PM2.5 AQI Value","PM2.5 AQI Value","Source  AQI Value"," AQI Value"
"07/05/2017","AQS","68","","."
"07/06/2017","AQS","38","","."
"07/07/2017","AQS","26","","."
"07/08/2017","AQS","31","","."
"07/09/2017","AQS","35","","."
"07/10/2017","AQS","54","","."
"07/11/2017","AQS","57","","."
"07/12/2017","AQS","54","","."
"07/13/2017","AQS","55","","."
"07/14/2017","AQS","50","","."
"07/15/2017","AQS","39","","."
"07/16/2017","AQS","33","","."
"07/17/2017","AQS","52","","."
"07/18/2017","AQS","50","","."
"07/19/2017","AQS","56","","."
"07/20/2017","AQS","68","","."
"07/21/2017","AQS","64","","."
"07/22/2017","AQS","46","","."
"07/23/2017","AQS","33","","."
"07/24/2017","AQS","32","","."
"07/25/2017","AQS","25","","."
"07/26/2017","AQS","31","","."
"07/27/2017","AQS","50","","."
"07/28/2017","AQS","55","","."
"07/29/2017","AQS","26","","."
"07/30/2017","AQS","25","","."
"07/31/2017","AQS","48","","."
"08/01/2017","AQS","55","","."
"08/02/2017","AQS","56","","."
"08/03/2017","AQS","54","","."
"08/04/2017","AQS","56","","."
"08/05/2017","AQS","25","","."
"08/06/2017","AQS","33","","."
"08/07/2017","AQS","34","","."
"08/08/2017","AQS","39","","."
"08/09/2017","AQS","50","","."
"08/10/2017","AQS","52","","."
"08/11/2017","AQS","35","","."
"08/12/2017","AQS","32","","."
"08/13/2017","AQS","38","","."
"08/14/2017","AQS","61","","."
"08/15/2017","AQS","51","","."
"08/16/2017","AQS","54","","."
"08/17/2017","AQS","63","","."
"08/18/2017","AQS","52","","."
"08/19/2017","AQS","35","","."
"08/20/2017","AQS","38","","."
"08/21/2017","AQS","55","","."
"08/22/2017","AQS","59","","."
"08/23/2017","AQS","33","","."
"08/24/2017","AQS","47","","."
"08/25/2017","AQS","47","","."
"08/26/2017","AQS","44","","."
"08/27/2017","AQS","48","","."
"08/28/2017","AQS","47","","."
"08/29/2017","AQS","32","","."
"08/30/2017","AQS","38","","."
"08/31/2017","AQS","45","","."
"09/01/2017","AQS","41","","."
"09/02/2017","AQS","26","","."
"09/03/2017","AQS","25","","."
"09/04/2017","AQS","54","","."
"09/05/2017","AQS","64","","."
"09/06/2017","AQS","58","","."
"09/07/2017","AQS","32","","."
"09/08/2017","AQS","33","","."
"09/09/2017","AQS","26","","."
"09/10/2017","AQS","33","","."
"09/11/2017","AQS","34","","."
"09/12/2017","AQS","41","","."
"09/13/2017","AQS","36","","."
"09/14/2017","AQS","45","","."
"09/15/2017","AQS","33","","."
"09/16/2017","AQS","51","","."
"09/17/2017","AQS","50","","."
"09/18/2017","AQS","54","","."
"09/19/2017","AQS","55","","."
"09/20/2017","AQS","50","","."
"09/21/2017","AQS","41","","."
