"Date","Source PM2.5 AQI Value","PM2.5 AQI Value","Source  AQI Value"," AQI Value"
"01/01/2011","AQS","78","","."
"01/02/2011","AQS","23","","."
"01/03/2011","AQS","31","","."
"01/04/2011","AQS","45","","."
"01/05/2011","AQS","40","","."
"01/06/2011","AQS","64","","."
"01/07/2011","AQS","49","","."
"01/08/2011","AQS","44","","."
"01/09/2011","AQS","33","","."
"01/10/2011","AQS","58","","."
"01/11/2011","AQS","59","","."
"01/12/2011","AQS","33","","."
"01/13/2011","AQS","52","","."
"01/14/2011","AQS","54","","."
"01/15/2011","AQS","54","","."
"01/16/2011","AQS","56","","."
"01/17/2011","AQS","62","","."
"01/18/2011","AQS","65","","."
"01/19/2011","AQS","54","","."
"01/20/2011","AQS","30","","."
"01/21/2011","AQS","46","","."
"01/22/2011","AQS","54","","."
"01/23/2011","AQS","56","","."
"01/24/2011","AQS","76","","."
"01/25/2011","AQS","70","","."
"01/26/2011","AQS","62","","."
"01/27/2011","AQS","56","","."
"01/28/2011","AQS","68","","."
"01/29/2011","AQS","53","","."
"01/30/2011","AQS","77","","."
"01/31/2011","AQS","58","","."
"02/01/2011","AQS","79","","."
"02/02/2011","AQS","30","","."
"02/03/2011","AQS","26","","."
"02/04/2011","AQS","45","","."
"02/05/2011","AQS","37","","."
"02/06/2011","AQS","55","","."
"02/07/2011","AQS","72","","."
"02/08/2011","AQS","35","","."
"02/09/2011","AQS","29","","."
"02/10/2011","AQS","43","","."
"02/11/2011","AQS","60","","."
"02/12/2011","AQS","54","","."
"02/13/2011","AQS","37","","."
"02/14/2011","AQS","21","","."
"02/15/2011","AQS","23","","."
"02/16/2011","AQS","37","","."
"02/17/2011","AQS","66","","."
"02/18/2011","AQS","54","","."
"02/19/2011","AQS","13","","."
"02/20/2011","AQS","25","","."
"02/21/2011","AQS","45","","."
"02/22/2011","AQS","33","","."
"02/23/2011","AQS","56","","."
"02/24/2011","AQS","57","","."
"02/25/2011","AQS","52","","."
"02/26/2011","AQS","30","","."
"02/27/2011","AQS","53","","."
"02/28/2011","AQS","56","","."
"03/01/2011","AQS","35","","."
"03/02/2011","AQS","38","","."
"03/03/2011","AQS","25","","."
"03/04/2011","AQS","29","","."
"03/05/2011","AQS","20","","."
"03/06/2011","AQS","15","","."
"03/07/2011","AQS","20","","."
"03/08/2011","AQS","27","","."
"03/09/2011","AQS","33","","."
"03/10/2011","AQS","19","","."
"03/11/2011","AQS","19","","."
"03/12/2011","AQS","51","","."
"03/13/2011","AQS","40","","."
"03/14/2011","AQS","45","","."
"03/15/2011","AQS","34","","."
"03/16/2011","AQS","39","","."
"03/17/2011","AQS","45","","."
"03/18/2011","AQS","49","","."
"03/19/2011","AQS","29","","."
"03/20/2011","AQS","26","","."
"03/21/2011","AQS","38","","."
"03/22/2011","AQS","52","","."
"03/23/2011","AQS","38","","."
"03/24/2011","AQS","29","","."
"03/25/2011","AQS","28","","."
"03/26/2011","AQS","35","","."
"03/27/2011","AQS","36","","."
"03/28/2011","AQS","28","","."
"03/29/2011","AQS","25","","."
"03/30/2011","AQS","40","","."
"03/31/2011","AQS","43","","."
"04/01/2011","AQS","40","","."
"04/02/2011","AQS","59","","."
"04/03/2011","AQS","44","","."
"04/04/2011","AQS","34","","."
"04/05/2011","AQS","23","","."
"04/06/2011","AQS","24","","."
"04/07/2011","AQS","60","","."
"04/08/2011","AQS","54","","."
"04/09/2011","AQS","45","","."
"04/10/2011","AQS","53","","."
"04/11/2011","AQS","58","","."
"04/12/2011","AQS","25","","."
"04/13/2011","AQS","23","","."
"04/14/2011","AQS","36","","."
"04/15/2011","AQS","46","","."
"04/16/2011","AQS","33","","."
"04/17/2011","AQS","25","","."
"04/18/2011","AQS","53","","."
"04/19/2011","AQS","63","","."
"04/20/2011","AQS","58","","."
"04/21/2011","AQS","38","","."
"04/22/2011","AQS","32","","."
"04/23/2011","AQS","38","","."
"04/24/2011","AQS","54","","."
"04/25/2011","AQS","59","","."
"04/26/2011","AQS","36","","."
"04/27/2011","AQS","52","","."
"04/28/2011","AQS","40","","."
"04/29/2011","AQS","28","","."
"04/30/2011","AQS","20","","."
"05/01/2011","AQS","36","","."
"05/02/2011","AQS","49","","."
"05/03/2011","AQS","56","","."
"05/04/2011","AQS","20","","."
"05/05/2011","AQS","27","","."
"05/06/2011","AQS","40","","."
"05/07/2011","AQS","40","","."
"05/08/2011","AQS","52","","."
"05/09/2011","AQS","48","","."
"05/10/2011","AQS","27","","."
"05/11/2011","AQS","34","","."
"05/12/2011","AQS","47","","."
"05/13/2011","AQS","59","","."
"05/14/2011","AQS","40","","."
"05/15/2011","AQS","45","","."
"05/16/2011","AQS","48","","."
"05/17/2011","AQS","33","","."
"05/18/2011","AQS","35","","."
"05/19/2011","AQS","42","","."
"05/20/2011","AQS","59","","."
"05/21/2011","AQS","49","","."
"05/22/2011","AQS","59","","."
"05/23/2011","AQS","69","","."
"05/24/2011","AQS","60","","."
"05/25/2011","AQS","57","","."
"05/26/2011","AQS","80","","."
"05/27/2011","AQS","57","","."
"05/28/2011","AQS","38","","."
"05/29/2011","AQS","67","","."
"05/30/2011","AQS","76","","."
"05/31/2011","AQS","93","","."
"06/01/2011","AQS","90","","."
"06/02/2011","AQS","33","","."
"06/03/2011","AQS","23","","."
"06/04/2011","AQS","90","","."
"06/05/2011","AQS","61","","."
"06/06/2011","AQS","56","","."
"06/07/2011","AQS","64","","."
"06/08/2011","AQS","88","","."
"06/09/2011","AQS","89","","."
"06/10/2011","AQS","79","","."
"06/11/2011","AQS","72","","."
"06/12/2011","AQS","64","","."
"06/13/2011","AQS","37","","."
"06/14/2011","AQS","67","","."
"06/15/2011","AQS","43","","."
"06/16/2011","AQS","55","","."
"06/17/2011","AQS","48","","."
"06/18/2011","AQS","56","","."
"06/19/2011","AQS","66","","."
