"Date","Source PM2.5 AQI Value","PM2.5 AQI Value","Source  AQI Value"," AQI Value"
"01/01/2013","AQS","41","","."
"01/02/2013","AQS","55","","."
"01/03/2013","AQS","62","","."
"01/04/2013","AQS","51","","."
"01/05/2013","AQS","52","","."
"01/06/2013","AQS","52","","."
"01/07/2013","AQS","54","","."
"01/08/2013","AQS","65","","."
"01/09/2013","AQS","72","","."
"01/10/2013","AQS","42","","."
"01/11/2013","AQS","67","","."
"01/12/2013","AQS","75","","."
"01/13/2013","AQS","52","","."
"01/14/2013","AQS","38","","."
"01/15/2013","AQS","55","","."
"01/16/2013","AQS","43","","."
"01/17/2013","AQS","51","","."
"01/18/2013","AQS","47","","."
"01/19/2013","AQS","51","","."
"01/20/2013","AQS","30","","."
"01/21/2013","AQS","43","","."
"01/22/2013","AQS","38","","."
"01/23/2013","AQS","45","","."
"01/24/2013","AQS","59","","."
"01/25/2013","AQS","72","","."
"01/26/2013","AQS","74","","."
"01/27/2013","AQS","82","","."
"01/28/2013","AQS","87","","."
"01/29/2013","AQS","69","","."
"01/30/2013","AQS","55","","."
"01/31/2013","AQS","20","","."
"02/01/2013","AQS","33","","."
"02/02/2013","AQS","44","","."
"02/03/2013","AQS","66","","."
"02/04/2013","AQS","45","","."
"02/05/2013","AQS","70","","."
"02/06/2013","AQS","68","","."
"02/07/2013","AQS","63","","."
"02/08/2013","AQS","51","","."
"02/09/2013","AQS","40","","."
"02/10/2013","AQS","47","","."
"02/11/2013","AQS","40","","."
"02/12/2013","AQS","31","","."
"02/13/2013","AQS","60","","."
"02/14/2013","AQS","61","","."
"02/15/2013","AQS","47","","."
"02/16/2013","AQS","49","","."
"02/17/2013","AQS","36","","."
"02/18/2013","AQS","28","","."
"02/19/2013","AQS","37","","."
"02/20/2013","AQS","38","","."
"02/21/2013","AQS","43","","."
"02/22/2013","AQS","43","","."
"02/23/2013","AQS","42","","."
"02/24/2013","AQS","57","","."
"02/25/2013","AQS","47","","."
"02/26/2013","AQS","53","","."
"02/27/2013","AQS","20","","."
"02/28/2013","AQS","23","","."
"03/01/2013","AQS","21","","."
"03/02/2013","AQS","27","","."
"03/03/2013","AQS","31","","."
"03/04/2013","AQS","34","","."
"03/05/2013","AQS","49","","."
"03/06/2013","AQS","29","","."
"03/07/2013","AQS","22","","."
"03/08/2013","AQS","25","","."
"03/09/2013","AQS","25","","."
"03/10/2013","AQS","51","","."
"03/11/2013","AQS","37","","."
"03/12/2013","AQS","28","","."
"03/13/2013","AQS","42","","."
"03/14/2013","AQS","20","","."
"03/15/2013","AQS","41","","."
"03/16/2013","AQS","62","","."
"03/17/2013","AQS","55","","."
"03/18/2013","AQS","32","","."
"03/19/2013","AQS","35","","."
"03/20/2013","AQS","23","","."
"03/21/2013","AQS","43","","."
"03/22/2013","AQS","40","","."
"03/23/2013","AQS","55","","."
"03/24/2013","AQS","42","","."
"03/25/2013","AQS","48","","."
"03/26/2013","AQS","38","","."
"03/27/2013","AQS","31","","."
"03/28/2013","AQS","33","","."
"03/29/2013","AQS","34","","."
"03/30/2013","AQS","56","","."
"03/31/2013","AQS","56","","."
"04/01/2013","AQS","57","","."
"04/02/2013","AQS","30","","."
"04/03/2013","AQS","39","","."
"04/04/2013","AQS","35","","."
"04/05/2013","AQS","55","","."
"04/06/2013","AQS","36","","."
"04/07/2013","AQS","42","","."
"04/08/2013","AQS","56","","."
"04/09/2013","AQS","55","","."
"04/10/2013","AQS","66","","."
"04/11/2013","AQS","57","","."
"04/12/2013","AQS","54","","."
"04/13/2013","AQS","49","","."
"04/14/2013","AQS","48","","."
"04/15/2013","AQS","51","","."
"04/16/2013","AQS","51","","."
"04/17/2013","AQS","56","","."
"04/18/2013","AQS","56","","."
"04/19/2013","AQS","38","","."
"04/20/2013","AQS","29","","."
"04/21/2013","AQS","33","","."
"04/22/2013","AQS","28","","."
"04/23/2013","AQS","53","","."
"04/24/2013","AQS","54","","."
"04/25/2013","AQS","25","","."
"04/26/2013","AQS","38","","."
"04/27/2013","AQS","55","","."
"04/28/2013","AQS","47","","."
