"Date","Source PM2.5 AQI Value","PM2.5 AQI Value","Source  AQI Value"," AQI Value"
"01/01/2018","AQS","34","","."
"01/02/2018","AQS","40","","."
"01/03/2018","AQS","63","","."
"01/04/2018","AQS","42","","."
"01/05/2018","AQS","11","","."
"01/06/2018","AQS","21","","."
"01/07/2018","AQS","34","","."
"01/08/2018","AQS","52","","."
"01/09/2018","AQS","59","","."
"01/10/2018","AQS","79","","."
"01/11/2018","AQS","71","","."
"01/12/2018","AQS","27","","."
"01/13/2018","AQS","16","","."
"01/14/2018","AQS","27","","."
"01/15/2018","AQS","61","","."
"01/16/2018","AQS","68","","."
"01/17/2018","AQS","66","","."
"01/18/2018","AQS","36","","."
"01/19/2018","AQS","51","","."
"01/20/2018","AQS","56","","."
"01/21/2018","AQS","65","","."
"01/22/2018","AQS","43","","."
"01/23/2018","AQS","32","","."
"01/24/2018","AQS","20","","."
"01/25/2018","AQS","31","","."
"01/26/2018","AQS","59","","."
"01/27/2018","AQS","36","","."
"01/28/2018","AQS","54","","."
"01/29/2018","AQS","54","","."
"01/30/2018","AQS","32","","."
"01/31/2018","AQS","32","","."
"02/01/2018","AQS","44","","."
"02/02/2018","AQS","28","","."
"02/03/2018","AQS","34","","."
"02/04/2018","AQS","40","","."
"02/05/2018","AQS","38","","."
"02/06/2018","AQS","52","","."
"02/07/2018","AQS","71","","."
"02/08/2018","AQS","56","","."
"02/09/2018","AQS","65","","."
"02/10/2018","AQS","58","","."
"02/11/2018","AQS","38","","."
"02/12/2018","AQS","30","","."
"02/13/2018","AQS","51","","."
"02/14/2018","AQS","54","","."
"02/15/2018","AQS","42","","."
"02/16/2018","AQS","23","","."
"02/17/2018","AQS","42","","."
"02/18/2018","AQS","41","","."
"02/19/2018","AQS","48","","."
"02/20/2018","AQS","45","","."
"02/21/2018","AQS","43","","."
"02/22/2018","AQS","27","","."
"02/23/2018","AQS","31","","."
"02/24/2018","AQS","58","","."
"02/25/2018","AQS","59","","."
"02/26/2018","AQS","46","","."
"02/27/2018","AQS","41","","."
"02/28/2018","AQS","54","","."
"03/01/2018","AQS","63","","."
"03/02/2018","AQS","30","","."
"03/03/2018","AQS","25","","."
"03/04/2018","AQS","23","","."
"03/05/2018","AQS","23","","."
