"Date","Source PM2.5 AQI Value","PM2.5 AQI Value","Source  AQI Value"," AQI Value"
"01/01/2009","AQS","22","","."
"01/02/2009","AQS","34","","."
"01/03/2009","AQS","42","","."
"01/04/2009","AQS","69","","."
"01/05/2009","AQS","55","","."
"01/06/2009","AQS","35","","."
"01/07/2009","AQS","23","","."
"01/08/2009","AQS","19","","."
"01/09/2009","AQS","50","","."
"01/10/2009","AQS","66","","."
"01/11/2009","AQS","58","","."
"01/12/2009","AQS","54","","."
"01/13/2009","AQS","68","","."
"01/14/2009","AQS","29","","."
"01/15/2009","AQS","40","","."
"01/16/2009","AQS","32","","."
"01/17/2009","AQS","46","","."
"01/18/2009","AQS","63","","."
"01/19/2009","AQS","114","","."
"01/20/2009","AQS","76","","."
"01/21/2009","AQS","53","","."
"01/22/2009","AQS","65","","."
"01/23/2009","AQS","74","","."
"01/24/2009","AQS","54","","."
"01/25/2009","AQS","43","","."
"01/26/2009","AQS","69","","."
"01/27/2009","AQS","86","","."
"01/28/2009","AQS","40","","."
"01/29/2009","AQS","67","","."
"01/30/2009","AQS","68","","."
"01/31/2009","AQS","33","","."
"02/01/2009","AQS","26","","."
"02/02/2009","AQS","46","","."
"02/03/2009","AQS","54","","."
"02/04/2009","AQS","50","","."
"02/05/2009","AQS","29","","."
"02/06/2009","AQS","55","","."
"02/07/2009","AQS","60","","."
"02/08/2009","AQS","39","","."
"02/09/2009","AQS","65","","."
"02/10/2009","AQS","57","","."
"02/11/2009","AQS","56","","."
"02/12/2009","AQS","48","","."
"02/13/2009","AQS","52","","."
"02/14/2009","AQS","56","","."
"02/15/2009","AQS","52","","."
"02/16/2009","AQS","52","","."
"02/17/2009","AQS","47","","."
"02/18/2009","AQS","56","","."
"02/19/2009","AQS","55","","."
"02/20/2009","AQS","54","","."
"02/21/2009","AQS","52","","."
"02/22/2009","AQS","53","","."
"02/23/2009","AQS","50","","."
"02/24/2009","AQS","50","","."
"02/25/2009","AQS","56","","."
"02/26/2009","AQS","60","","."
"02/27/2009","AQS","55","","."
"02/28/2009","AQS","51","","."
"03/01/2009","AQS","53","","."
"03/02/2009","AQS","48","","."
"03/03/2009","AQS","52","","."
"03/04/2009","AQS","40","","."
"03/05/2009","AQS","70","","."
"03/06/2009","AQS","59","","."
"03/07/2009","AQS","92","","."
"03/08/2009","AQS","79","","."
"03/09/2009","AQS","54","","."
"03/10/2009","AQS","38","","."
"03/11/2009","AQS","38","","."
"03/12/2009","AQS","31","","."
"03/13/2009","AQS","63","","."
"03/14/2009","AQS","68","","."
"03/15/2009","AQS","67","","."
"03/16/2009","AQS","92","","."
"03/17/2009","AQS","76","","."
"03/18/2009","AQS","57","","."
"03/19/2009","AQS","45","","."
"03/20/2009","AQS","36","","."
"03/21/2009","AQS","38","","."
"03/22/2009","AQS","45","","."
"03/23/2009","AQS","24","","."
"03/24/2009","AQS","20","","."
"03/25/2009","AQS","29","","."
"03/26/2009","AQS","47","","."
"03/27/2009","AQS","42","","."
"03/28/2009","AQS","30","","."
"03/29/2009","AQS","19","","."
"03/30/2009","AQS","30","","."
"03/31/2009","AQS","31","","."
"04/01/2009","AQS","42","","."
"04/02/2009","AQS","62","","."
"04/03/2009","AQS","17","","."
"04/04/2009","AQS","80","","."
"04/05/2009","AQS","25","","."
"04/06/2009","AQS","30","","."
"04/07/2009","AQS","45","","."
"04/08/2009","AQS","26","","."
"04/09/2009","AQS","52","","."
"04/10/2009","AQS","54","","."
"04/11/2009","AQS","39","","."
"04/12/2009","AQS","20","","."
"04/13/2009","AQS","28","","."
"04/14/2009","AQS","31","","."
"04/15/2009","AQS","21","","."
"04/16/2009","AQS","33","","."
"04/17/2009","AQS","41","","."
"04/18/2009","AQS","47","","."
"04/19/2009","AQS","54","","."
"04/20/2009","AQS","26","","."
"04/21/2009","AQS","25","","."
"04/22/2009","AQS","36","","."
"04/23/2009","AQS","29","","."
"04/24/2009","AQS","52","","."
"04/25/2009","AQS","148","","."
"04/26/2009","AQS","56","","."
"04/27/2009","AQS","48","","."
"04/28/2009","AQS","42","","."
"04/29/2009","AQS","19","","."
"04/30/2009","AQS","44","","."
"05/01/2009","AQS","62","","."
"05/02/2009","AQS","40","","."
"05/03/2009","AQS","50","","."
"05/04/2009","AQS","16","","."
"05/05/2009","AQS","39","","."
"05/06/2009","AQS","54","","."
"05/07/2009","AQS","35","","."
"05/08/2009","AQS","52","","."
"05/09/2009","AQS","34","","."
"05/10/2009","AQS","55","","."
"05/11/2009","AQS","35","","."
"05/12/2009","AQS","35","","."
"05/13/2009","AQS","56","","."
"05/14/2009","AQS","40","","."
"05/15/2009","AQS","51","","."
"05/16/2009","AQS","42","","."
"05/17/2009","AQS","17","","."
"05/18/2009","AQS","19","","."
"05/19/2009","AQS","31","","."
"05/20/2009","AQS","37","","."
"05/21/2009","AQS","42","","."
"05/22/2009","AQS","35","","."
"05/23/2009","AQS","33","","."
"05/24/2009","AQS","30","","."
"05/25/2009","AQS","54","","."
"05/26/2009","AQS","52","","."
"05/27/2009","AQS","52","","."
"05/28/2009","AQS","49","","."
"05/29/2009","AQS","49","","."
"05/30/2009","AQS","52","","."
"05/31/2009","AQS","47","","."
"06/01/2009","AQS","42","","."
"06/02/2009","AQS","55","","."
"06/03/2009","AQS","51","","."
"06/04/2009","AQS","44","","."
"06/05/2009","AQS","22","","."
"06/06/2009","AQS","30","","."
"06/07/2009","AQS","60","","."
"06/08/2009","AQS","70","","."
"06/09/2009","AQS","55","","."
"06/10/2009","AQS","49","","."
"06/11/2009","AQS","64","","."
"06/12/2009","AQS","39","","."
"06/13/2009","AQS","51","","."
"06/14/2009","AQS","33","","."
"06/15/2009","AQS","54","","."
"06/16/2009","AQS","48","","."
"06/17/2009","AQS","19","","."
"06/18/2009","AQS","53","","."
"06/19/2009","AQS","71","","."
"06/20/2009","AQS","62","","."
"06/21/2009","AQS","25","","."
"06/22/2009","AQS","21","","."
"06/23/2009","AQS","38","","."
"06/24/2009","AQS","34","","."
"06/25/2009","AQS","55","","."
"06/26/2009","AQS","79","","."
"06/27/2009","AQS","58","","."
"06/28/2009","AQS","66","","."
"06/29/2009","AQS","53","","."
"06/30/2009","AQS","53","","."
"07/01/2009","AQS","53","","."
"07/02/2009","AQS","38","","."
"07/03/2009","AQS","39","","."
"07/04/2009","AQS","59","","."
"07/05/2009","AQS","47","","."
"07/06/2009","AQS","55","","."
"07/07/2009","AQS","52","","."
"07/08/2009","AQS","29","","."
"07/09/2009","AQS","61","","."
"07/10/2009","AQS","38","","."
"07/11/2009","AQS","47","","."
"07/12/2009","AQS","57","","."
"07/13/2009","AQS","54","","."
"07/14/2009","AQS","36","","."
"07/15/2009","AQS","55","","."
"07/16/2009","AQS","63","","."
"07/17/2009","AQS","61","","."
"07/18/2009","AQS","39","","."
"07/19/2009","AQS","51","","."
"07/20/2009","AQS","60","","."
"07/21/2009","AQS","61","","."
"07/22/2009","AQS","60","","."
"07/23/2009","AQS","35","","."
"07/24/2009","AQS","53","","."
"07/25/2009","AQS","57","","."
"07/26/2009","AQS","38","","."
"07/27/2009","AQS","51","","."
"07/28/2009","AQS","66","","."
"07/29/2009","AQS","53","","."
"07/30/2009","AQS","62","","."
"07/31/2009","AQS","44","","."
"08/01/2009","AQS","52","","."
"08/02/2009","AQS","40","","."
"08/03/2009","AQS","65","","."
"08/04/2009","AQS","71","","."
"08/05/2009","AQS","60","","."
"08/06/2009","AQS","64","","."
"08/07/2009","AQS","30","","."
"08/08/2009","AQS","71","","."
"08/09/2009","AQS","77","","."
"08/10/2009","AQS","69","","."
"08/11/2009","AQS","58","","."
"08/12/2009","AQS","61","","."
"08/13/2009","AQS","42","","."
"08/14/2009","AQS","40","","."
"08/15/2009","AQS","41","","."
"08/16/2009","AQS","53","","."
"08/17/2009","AQS","58","","."
"08/18/2009","AQS","55","","."
"08/19/2009","AQS","42","","."
"08/20/2009","AQS","43","","."
"08/21/2009","AQS","32","","."
"08/22/2009","AQS","46","","."
"08/23/2009","AQS","59","","."
"08/24/2009","AQS","33","","."
"08/25/2009","AQS","59","","."
"08/26/2009","AQS","71","","."
"08/27/2009","AQS","84","","."
"08/28/2009","AQS","61","","."
"08/29/2009","AQS","51","","."
"08/30/2009","AQS","48","","."
"08/31/2009","AQS","22","","."
"09/01/2009","AQS","25","","."
"09/02/2009","AQS","34","","."
"09/03/2009","AQS","40","","."
"09/04/2009","AQS","48","","."
"09/05/2009","AQS","59","","."
"09/06/2009","AQS","54","","."
"09/07/2009","AQS","34","","."
"09/08/2009","AQS","35","","."
"09/09/2009","AQS","52","","."
"09/10/2009","AQS","28","","."
"09/11/2009","AQS","15","","."
"09/12/2009","AQS","15","","."
"09/13/2009","AQS","26","","."
"09/14/2009","AQS","60","","."
"09/15/2009","AQS","62","","."
"09/16/2009","AQS","48","","."
"09/17/2009","AQS","24","","."
"09/18/2009","AQS","33","","."
"09/19/2009","AQS","31","","."
"09/20/2009","AQS","27","","."
"09/21/2009","AQS","27","","."
"09/22/2009","AQS","29","","."
"09/23/2009","AQS","25","","."
"09/24/2009","AQS","53","","."
"09/25/2009","AQS","32","","."
"09/26/2009","AQS","15","","."
"09/27/2009","AQS","17","","."
"09/28/2009","AQS","27","","."
"09/29/2009","AQS","23","","."
"09/30/2009","AQS","19","","."
"10/01/2009","AQS","31","","."
"10/02/2009","AQS","40","","."
"10/03/2009","AQS","43","","."
"10/04/2009","AQS","37","","."
"10/05/2009","AQS","28","","."
"10/06/2009","AQS","40","","."
"10/07/2009","AQS","50","","."
"10/08/2009","AQS","21","","."
"10/09/2009","AQS","42","","."
"10/10/2009","AQS","28","","."
"10/11/2009","AQS","34","","."
"10/12/2009","AQS","31","","."
"10/13/2009","AQS","58","","."
"10/14/2009","AQS","22","","."
"10/15/2009","AQS","17","","."
"10/16/2009","AQS","14","","."
"10/17/2009","AQS","16","","."
"10/18/2009","AQS","18","","."
"10/19/2009","AQS","35","","."
"10/20/2009","AQS","54","","."
"10/21/2009","AQS","54","","."
"10/22/2009","AQS","58","","."
"10/23/2009","AQS","59","","."
"10/24/2009","AQS","20","","."
"10/25/2009","AQS","34","","."
"10/26/2009","AQS","40","","."
"10/27/2009","AQS","19","","."
"10/28/2009","AQS","20","","."
"10/29/2009","AQS","27","","."
"10/30/2009","AQS","35","","."
"10/31/2009","AQS","26","","."
"11/01/2009","AQS","29","","."
"11/02/2009","AQS","34","","."
"11/03/2009","AQS","48","","."
"11/04/2009","AQS","28","","."
"11/05/2009","AQS","36","","."
"11/06/2009","AQS","23","","."
"11/07/2009","AQS","54","","."
"11/08/2009","AQS","63","","."
"11/09/2009","AQS","84","","."
"11/10/2009","AQS","92","","."
"11/11/2009","AQS","30","","."
"11/12/2009","AQS","16","","."
"11/13/2009","AQS","17","","."
"11/14/2009","AQS","18","","."
"11/15/2009","AQS","39","","."
"11/16/2009","AQS","60","","."
"11/17/2009","AQS","30","","."
"11/18/2009","AQS","27","","."
"11/19/2009","AQS","25","","."
"11/20/2009","AQS","37","","."
"11/21/2009","AQS","56","","."
"11/22/2009","AQS","56","","."
"11/23/2009","AQS","43","","."
"11/24/2009","AQS","20","","."
"11/25/2009","AQS","18","","."
"11/26/2009","AQS","46","","."
"11/27/2009","AQS","18","","."
"11/28/2009","AQS","30","","."
"11/29/2009","AQS","53","","."
"11/30/2009","AQS","30","","."
"12/01/2009","AQS","22","","."
"12/02/2009","AQS","36","","."
"12/03/2009","AQS","25","","."
"12/04/2009","AQS","40","","."
"12/05/2009","AQS","52","","."
"12/06/2009","AQS","60","","."
"12/07/2009","AQS","65","","."
"12/08/2009","AQS","53","","."
"12/09/2009","AQS","25","","."
"12/10/2009","AQS","23","","."
"12/11/2009","AQS","21","","."
"12/12/2009","AQS","31","","."
"12/13/2009","AQS","45","","."
"12/14/2009","AQS","47","","."
"12/15/2009","AQS","40","","."
"12/16/2009","AQS","22","","."
"12/17/2009","AQS","48","","."
"12/18/2009","AQS","58","","."
"12/19/2009","AQS","32","","."
"12/20/2009","AQS","21","","."
"12/21/2009","AQS","45","","."
"12/22/2009","AQS","54","","."
"12/23/2009","AQS","48","","."
"12/24/2009","AQS","54","","."
"12/25/2009","AQS","63","","."
"12/26/2009","AQS","15","","."
"12/27/2009","AQS","30","","."
"12/28/2009","AQS","21","","."
"12/29/2009","AQS","20","","."
"12/30/2009","AQS","30","","."
"12/31/2009","AQS","56","","."
