"Date","Source PM2.5 AQI Value","PM2.5 AQI Value","Source  AQI Value"," AQI Value"
"01/01/2010","AQS","54","","."
"01/02/2010","AQS","25","","."
"01/03/2010","AQS","20","","."
"01/04/2010","AQS","28","","."
"01/05/2010","AQS","30","","."
"01/06/2010","AQS","27","","."
"01/07/2010","AQS","28","","."
"01/08/2010","AQS","61","","."
"01/09/2010","AQS","30","","."
"01/10/2010","AQS","31","","."
"01/11/2010","AQS","44","","."
"01/12/2010","AQS","66","","."
"01/13/2010","AQS","54","","."
"01/14/2010","AQS","80","","."
"01/15/2010","AQS","69","","."
"01/16/2010","AQS","77","","."
"01/17/2010","AQS","68","","."
"01/18/2010","AQS","32","","."
"01/19/2010","AQS","62","","."
"01/20/2010","AQS","58","","."
"01/21/2010","AQS","49","","."
"01/22/2010","AQS","52","","."
"01/23/2010","AQS","55","","."
"01/24/2010","AQS","40","","."
"01/25/2010","AQS","15","","."
"01/26/2010","AQS","20","","."
"01/27/2010","AQS","30","","."
"01/28/2010","AQS","33","","."
"01/29/2010","AQS","38","","."
"01/30/2010","AQS","35","","."
"01/31/2010","AQS","40","","."
"02/01/2010","AQS","65","","."
"02/02/2010","AQS","81","","."
"02/03/2010","AQS","85","","."
"02/04/2010","AQS","62","","."
"02/05/2010","AQS","68","","."
"02/06/2010","AQS","40","","."
"02/07/2010","AQS","43","","."
"02/08/2010","AQS","48","","."
"02/09/2010","AQS","28","","."
"02/10/2010","AQS","38","","."
"02/11/2010","AQS","21","","."
"02/12/2010","AQS","30","","."
"02/13/2010","AQS","54","","."
"02/14/2010","AQS","35","","."
"02/15/2010","AQS","64","","."
"02/16/2010","AQS","49","","."
"02/17/2010","AQS","35","","."
"02/18/2010","AQS","21","","."
"02/19/2010","AQS","32","","."
"02/20/2010","AQS","45","","."
"02/21/2010","AQS","52","","."
"02/22/2010","AQS","64","","."
"02/23/2010","AQS","40","","."
"02/24/2010","AQS","67","","."
"02/25/2010","AQS","40","","."
"02/26/2010","AQS","20","","."
"02/27/2010","AQS","24","","."
"02/28/2010","AQS","23","","."
"03/01/2010","AQS","25","","."
"03/02/2010","AQS","40","","."
"03/03/2010","AQS","42","","."
"03/04/2010","AQS","20","","."
"03/05/2010","AQS","19","","."
"03/06/2010","AQS","22","","."
"03/07/2010","AQS","36","","."
"03/08/2010","AQS","43","","."
"03/09/2010","AQS","54","","."
"03/10/2010","AQS","77","","."
"03/11/2010","AQS","79","","."
"03/12/2010","AQS","23","","."
"03/13/2010","AQS","14","","."
"03/14/2010","AQS","24","","."
"03/15/2010","AQS","18","","."
"03/16/2010","AQS","23","","."
"03/17/2010","AQS","42","","."
"03/18/2010","AQS","45","","."
"03/19/2010","AQS","46","","."
"03/20/2010","AQS","56","","."
"03/21/2010","AQS","62","","."
"03/22/2010","AQS","31","","."
"03/23/2010","AQS","19","","."
"03/24/2010","AQS","38","","."
"03/25/2010","AQS","56","","."
"03/26/2010","AQS","34","","."
"03/27/2010","AQS","56","","."
"03/28/2010","AQS","25","","."
"03/29/2010","AQS","22","","."
"03/30/2010","AQS","35","","."
"03/31/2010","AQS","27","","."
"04/01/2010","AQS","41","","."
"04/02/2010","AQS","48","","."
"04/03/2010","AQS","28","","."
"04/04/2010","AQS","28","","."
"04/05/2010","AQS","58","","."
"04/06/2010","AQS","55","","."
"04/07/2010","AQS","52","","."
"04/08/2010","AQS","51","","."
"04/09/2010","AQS","22","","."
"04/10/2010","AQS","23","","."
"04/11/2010","AQS","47","","."
"04/12/2010","AQS","40","","."
"04/13/2010","AQS","45","","."
"04/14/2010","AQS","43","","."
"04/15/2010","AQS","42","","."
"04/16/2010","AQS","51","","."
"04/17/2010","AQS","24","","."
"04/18/2010","AQS","23","","."
"04/19/2010","AQS","24","","."
"04/20/2010","AQS","37","","."
"04/21/2010","AQS","55","","."
"04/22/2010","AQS","43","","."
"04/23/2010","AQS","50","","."
"04/24/2010","AQS","34","","."
"04/25/2010","AQS","43","","."
"04/26/2010","AQS","41","","."
"04/27/2010","AQS","62","","."
"04/28/2010","AQS","128","","."
"04/29/2010","AQS","25","","."
"04/30/2010","AQS","51","","."
"05/01/2010","AQS","56","","."
"05/02/2010","AQS","69","","."
"05/03/2010","AQS","52","","."
"05/04/2010","AQS","38","","."
"05/05/2010","AQS","64","","."
"05/06/2010","AQS","39","","."
"05/07/2010","AQS","26","","."
"05/08/2010","AQS","47","","."
"05/09/2010","AQS","21","","."
"05/10/2010","AQS","23","","."
"05/11/2010","AQS","25","","."
"05/12/2010","AQS","54","","."
"05/13/2010","AQS","40","","."
"05/14/2010","AQS","56","","."
"05/15/2010","AQS","29","","."
"05/16/2010","AQS","40","","."
"05/17/2010","AQS","33","","."
"05/18/2010","AQS","14","","."
"05/19/2010","AQS","22","","."
"05/20/2010","AQS","52","","."
"05/21/2010","AQS","54","","."
"05/22/2010","AQS","34","","."
"05/23/2010","AQS","27","","."
"05/24/2010","AQS","18","","."
"05/25/2010","AQS","28","","."
"05/26/2010","AQS","48","","."
