"Date","Source PM2.5 AQI Value","PM2.5 AQI Value","Source  AQI Value"," AQI Value"
"01/01/2019","AQS","15","","."
"01/02/2019","AQS","25","","."
"01/03/2019","AQS","31","","."
"01/04/2019","AQS","51","","."
"01/05/2019","AQS","24","","."
"01/06/2019","AQS","25","","."
"01/07/2019","AQS","18","","."
"01/08/2019","AQS","28","","."
"01/09/2019","AQS","14","","."
"01/10/2019","AQS","11","","."
"01/11/2019","AQS","19","","."
"01/12/2019","AQS","43","","."
"01/13/2019","AQS","43","","."
"01/14/2019","AQS","34","","."
"01/15/2019","AQS","59","","."
"01/16/2019","AQS","53","","."
"01/17/2019","AQS","37","","."
"01/18/2019","AQS","63","","."
"01/19/2019","AQS","69","","."
"01/20/2019","AQS","13","","."
"01/21/2019","AQS","8","","."
"01/22/2019","AQS","27","","."
"01/23/2019","AQS","30","","."
"01/24/2019","AQS","13","","."
"01/25/2019","AQS","23","","."
"01/26/2019","AQS","41","","."
"01/27/2019","AQS","49","","."
"01/28/2019","AQS","30","","."
"01/29/2019","AQS","48","","."
"01/30/2019","AQS","24","","."
"01/31/2019","AQS","23","","."
"02/01/2019","AQS","54","","."
"02/02/2019","AQS","79","","."
"02/03/2019","AQS","77","","."
"02/04/2019","AQS","78","","."
"02/05/2019","AQS","62","","."
"02/06/2019","AQS","58","","."
"02/07/2019","AQS","55","","."
"02/08/2019","AQS","34","","."
"02/09/2019","AQS","24","","."
"02/10/2019","AQS","39","","."
"02/11/2019","AQS","37","","."
"02/12/2019","AQS","25","","."
"02/13/2019","AQS","25","","."
"02/14/2019","AQS","27","","."
"02/15/2019","AQS","33","","."
"02/16/2019","AQS","28","","."
"02/17/2019","AQS","29","","."
"02/18/2019","AQS","16","","."
"02/19/2019","AQS","24","","."
"02/20/2019","AQS","38","","."
"02/21/2019","AQS","48","","."
"02/22/2019","AQS","44","","."
"02/23/2019","AQS","57","","."
"02/24/2019","AQS","13","","."
"02/25/2019","AQS","13","","."
"02/26/2019","AQS","23","","."
"02/27/2019","AQS","34","","."
"02/28/2019","AQS","40","","."
"03/01/2019","AQS","47","","."
"03/02/2019","AQS","51","","."
"03/03/2019","AQS","50","","."
"03/04/2019","AQS","33","","."
"03/05/2019","AQS","25","","."
"03/06/2019","AQS","30","","."
"03/07/2019","AQS","36","","."
"03/08/2019","AQS","55","","."
"03/09/2019","AQS","56","","."
"03/10/2019","AQS","34","","."
"03/11/2019","AQS","13","","."
"03/12/2019","AQS","30","","."
"03/13/2019","AQS","48","","."
"03/14/2019","AQS","38","","."
"03/15/2019","AQS","34","","."
"03/16/2019","AQS","13","","."
"03/17/2019","AQS","17","","."
"03/18/2019","AQS","35","","."
"03/19/2019","AQS","37","","."
"03/20/2019","AQS","46","","."
"03/21/2019","AQS","20","","."
"03/22/2019","AQS","18","","."
"03/23/2019","AQS","15","","."
"03/24/2019","AQS","25","","."
"03/25/2019","AQS","45","","."
"03/26/2019","AQS","15","","."
"03/27/2019","AQS","26","","."
"03/28/2019","AQS","34","","."
"03/29/2019","AQS","44","","."
"03/30/2019","AQS","57","","."
"03/31/2019","AQS","23","","."
"04/01/2019","AQS","18","","."
"04/02/2019","AQS","32","","."
"04/03/2019","AQS","36","","."
