"Date","Source PM2.5 AQI Value","PM2.5 AQI Value","Source  AQI Value"," AQI Value"
"01/01/2014","AQS","53","","."
"01/02/2014","AQS","67","","."
"01/03/2014","AQS","31","","."
"01/04/2014","AQS","45","","."
"01/05/2014","AQS","67","","."
"01/06/2014","AQS","33","","."
"01/07/2014","AQS","55","","."
"01/08/2014","AQS","66","","."
"01/09/2014","AQS","69","","."
"01/10/2014","AQS","77","","."
"01/11/2014","AQS","36","","."
"01/12/2014","AQS","40","","."
"01/13/2014","AQS","48","","."
"01/14/2014","AQS","54","","."
"01/15/2014","AQS","35","","."
"01/16/2014","AQS","42","","."
"01/17/2014","AQS","69","","."
"01/18/2014","AQS","35","","."
"01/19/2014","AQS","38","","."
"01/20/2014","AQS","78","","."
"01/21/2014","AQS","59","","."
"01/22/2014","AQS","48","","."
"01/23/2014","AQS","50","","."
"01/24/2014","AQS","40","","."
"01/25/2014","AQS","43","","."
"01/26/2014","AQS","26","","."
"01/27/2014","AQS","34","","."
"01/28/2014","AQS","42","","."
"01/29/2014","AQS","43","","."
"01/30/2014","AQS","52","","."
"01/31/2014","AQS","62","","."
"02/01/2014","AQS","76","","."
"02/02/2014","AQS","68","","."
"02/03/2014","AQS","43","","."
"02/04/2014","AQS","60","","."
"02/05/2014","AQS","38","","."
"02/06/2014","AQS","38","","."
"02/07/2014","AQS","54","","."
"02/08/2014","AQS","66","","."
"02/09/2014","AQS","90","","."
"02/10/2014","AQS","64","","."
"02/11/2014","AQS","72","","."
"02/12/2014","AQS","59","","."
"02/13/2014","AQS","54","","."
"02/14/2014","AQS","51","","."
"02/15/2014","AQS","67","","."
"02/16/2014","AQS","56","","."
"02/17/2014","AQS","50","","."
"02/18/2014","AQS","54","","."
"02/19/2014","AQS","55","","."
"02/20/2014","AQS","38","","."
"02/21/2014","AQS","45","","."
"02/22/2014","AQS","32","","."
"02/23/2014","AQS","19","","."
"02/24/2014","AQS","21","","."
"02/25/2014","AQS","28","","."
"02/26/2014","AQS","45","","."
"02/27/2014","AQS","44","","."
"02/28/2014","AQS","38","","."
"03/01/2014","AQS","54","","."
"03/02/2014","AQS","81","","."
"03/03/2014","AQS","47","","."
"03/04/2014","AQS","57","","."
"03/05/2014","AQS","63","","."
"03/06/2014","AQS","53","","."
"03/07/2014","AQS","41","","."
"03/08/2014","AQS","64","","."
"03/09/2014","AQS","59","","."
"03/10/2014","AQS","50","","."
"03/11/2014","AQS","61","","."
"03/12/2014","AQS","53","","."
"03/13/2014","AQS","19","","."
"03/14/2014","AQS","20","","."
"03/15/2014","AQS","35","","."
"03/16/2014","AQS","30","","."
"03/17/2014","AQS","33","","."
"03/18/2014","AQS","49","","."
"03/19/2014","AQS","32","","."
"03/20/2014","AQS","38","","."
"03/21/2014","AQS","53","","."
"03/22/2014","AQS","54","","."
"03/23/2014","AQS","50","","."
"03/24/2014","AQS","35","","."
"03/25/2014","AQS","58","","."
"03/26/2014","AQS","41","","."
"03/27/2014","AQS","46","","."
"03/28/2014","AQS","50","","."
"03/29/2014","AQS","26","","."
"03/30/2014","AQS","15","","."
"03/31/2014","AQS","19","","."
"04/01/2014","AQS","37","","."
"04/02/2014","AQS","50","","."
"04/03/2014","AQS","54","","."
"04/04/2014","AQS","56","","."
"04/05/2014","AQS","36","","."
"04/06/2014","AQS","23","","."
"04/07/2014","AQS","31","","."
"04/08/2014","AQS","29","","."
"04/09/2014","AQS","44","","."
"04/10/2014","AQS","42","","."
"04/11/2014","AQS","41","","."
"04/12/2014","AQS","47","","."
"04/13/2014","AQS","58","","."
"04/14/2014","AQS","28","","."
"04/15/2014","AQS","19","","."
"04/16/2014","AQS","27","","."
"04/17/2014","AQS","40","","."
"04/18/2014","AQS","40","","."
"04/19/2014","AQS","46","","."
"04/20/2014","AQS","45","","."
"04/21/2014","AQS","32","","."
"04/22/2014","AQS","48","","."
"04/23/2014","AQS","26","","."
"04/24/2014","AQS","26","","."
"04/25/2014","AQS","39","","."
"04/26/2014","AQS","36","","."
"04/27/2014","AQS","18","","."
"04/28/2014","AQS","27","","."
"04/29/2014","AQS","16","","."
"04/30/2014","AQS","14","","."
"05/01/2014","AQS","32","","."
"05/02/2014","AQS","30","","."
"05/03/2014","AQS","34","","."
"05/04/2014","AQS","27","","."
"05/05/2014","AQS","20","","."
"05/06/2014","AQS","29","","."
"05/07/2014","AQS","40","","."
"05/08/2014","AQS","63","","."
"05/09/2014","AQS","59","","."
"05/10/2014","AQS","43","","."
"05/11/2014","AQS","33","","."
"05/12/2014","AQS","55","","."
"05/13/2014","AQS","52","","."
"05/14/2014","AQS","51","","."
"05/15/2014","AQS","47","","."
"05/16/2014","AQS","24","","."
"05/17/2014","AQS","38","","."
"05/18/2014","AQS","23","","."
"05/19/2014","AQS","38","","."
"05/20/2014","AQS","48","","."
"05/21/2014","AQS","59","","."
"05/22/2014","AQS","59","","."
"05/23/2014","AQS","27","","."
"05/24/2014","AQS","28","","."
"05/25/2014","AQS","38","","."
"05/26/2014","AQS","47","","."
"05/27/2014","AQS","58","","."
"05/28/2014","AQS","52","","."
"05/29/2014","AQS","17","","."
"05/30/2014","AQS","23","","."
"05/31/2014","AQS","26","","."
"06/01/2014","AQS","35","","."
"06/02/2014","AQS","32","","."
"06/03/2014","AQS","53","","."
"06/04/2014","AQS","52","","."
"06/05/2014","AQS","30","","."
"06/06/2014","AQS","31","","."
"06/07/2014","AQS","38","","."
"06/08/2014","AQS","54","","."
"06/09/2014","AQS","59","","."
"06/10/2014","AQS","56","","."
"06/11/2014","AQS","40","","."
"06/12/2014","AQS","20","","."
"06/13/2014","AQS","37","","."
"06/14/2014","AQS","38","","."
"06/15/2014","AQS","26","","."
"06/16/2014","AQS","58","","."
"06/17/2014","AQS","62","","."
"06/18/2014","AQS","73","","."
"06/19/2014","AQS","49","","."
"06/20/2014","AQS","33","","."
"06/21/2014","AQS","50","","."
"06/22/2014","AQS","48","","."
"06/23/2014","AQS","34","","."
"06/24/2014","AQS","33","","."
"06/25/2014","AQS","44","","."
"06/26/2014","AQS","42","","."
"06/27/2014","AQS","42","","."
"06/28/2014","AQS","28","","."
"06/29/2014","AQS","32","","."
"06/30/2014","AQS","36","","."
"07/01/2014","AQS","55","","."
"07/02/2014","AQS","67","","."
"07/03/2014","AQS","54","","."
"07/04/2014","AQS","68","","."
"07/05/2014","AQS","26","","."
"07/06/2014","AQS","45","","."
"07/07/2014","AQS","63","","."
"07/08/2014","AQS","57","","."
"07/09/2014","AQS","40","","."
"07/10/2014","AQS","51","","."
"07/11/2014","AQS","51","","."
"07/12/2014","AQS","55","","."
"07/13/2014","AQS","55","","."
"07/14/2014","AQS","55","","."
"07/15/2014","AQS","58","","."
"07/16/2014","AQS","42","","."
"07/17/2014","AQS","40","","."
"07/18/2014","AQS","44","","."
"07/19/2014","AQS","38","","."
"07/20/2014","AQS","40","","."
"07/21/2014","AQS","33","","."
"07/22/2014","AQS","38","","."
"07/23/2014","AQS","48","","."
"07/24/2014","AQS","30","","."
"07/25/2014","AQS","35","","."
"07/26/2014","AQS","43","","."
"07/27/2014","AQS","36","","."
"07/28/2014","AQS","26","","."
"07/29/2014","AQS","30","","."
"07/30/2014","AQS","42","","."
"07/31/2014","AQS","59","","."
"08/01/2014","AQS","58","","."
"08/02/2014","AQS","42","","."
"08/03/2014","AQS","51","","."
"08/04/2014","AQS","38","","."
"08/05/2014","AQS","60","","."
"08/06/2014","AQS","62","","."
